"GSE12404","development","35"
"GSE11708","mutant, abiotic","10"
"GSE13739","abiotic stress","14"
"GSE14106","biotic stress","10"
"GSE14496","mutant","14"
"GSE14502","development","35"
"GSE15876","mutant","11"
"GSE17464","biotic stress","32"
"GSE17479","mutant, hormone","15"
"GSE18975","chemical","28"
"GSE19271","mutant, chemical","36"
"GSE19520","mutant, hormone","16"
"GSE21611","development","23"
"GSE21684","development","27"
"GSE22966","abiotic stress","12"
"GSE24077","abiotic stress","10"
"GSE24517","abiotic stress","10"
"GSE2473","mutant","12"
"GSE26297","mutant","10"
"GSE26983","abiotic stress, mutant","12"
"GSE27985","mutant, abiotic","10"
"GSE28297","mutant","10"
"GSE28600","hormone","12"
"GSE29543","development","10"
"GSE30095","abiotic stress","10"
"GSE30097","abiotic stress","14"
"GSE30223","development","10"
"GSE31158","abiotic stress","12"
"GSE34130","abiotic stress","13"
"GSE35325","biotic stress","10"
"GSE35580","hormone","10"
"GSE38030","abiotic stress","12"
"GSE39268","abiotic stress","12"
"GSE41136","biotic stress","12"
"GSE42007","hormone","16"
"GSE46107","mutant","10"
"GSE46205","abiotic stress","29"
"GSE4733","development","10"
"GSE50526","biotic stress","10"
"GSE5615","biotic stress","14"
"GSE5617","abiotic stress","16"
"GSE5620","development","18"
"GSE5621","abiotic stress","12"
"GSE5622","abiotic stress","12"
"GSE5623","abiotic stress","12"
"GSE5624","abiotic stress","14"
"GSE5625","abiotic stress","12"
"GSE5626","abiotic stress","14"
"GSE5627","abiotic stress","14"
"GSE5628","abiotic stress","16"
"GSE5630","development","19"
"GSE5632","development","21"
"GSE5633","development","14"
"GSE5685","biotic stress","16"
"GSE5686","biotic stress","16"
"GSE6151","mutant","11"
"GSE6174","development","10"
"GSE6176","biotic stress","25"
"GSE7631","abiotic stress","27"
"GSE7641","abiotic stress","12"
"GSE7796","mutant","14"
"GSE9719","abiotic stress","10"
