,exp1,exp2,exp3,exp4
AT3G55980,423.8745242,16.37560546,36.6706137,30.65126895
AT4G29190,20.7189816,202.3919065,388.5940096,92.72010151
AT5G57660,79.05192101,213.6685835,342.8501625,392.1167774
AT5G37260,30.9450692,213.0352815,106.1868868,306.9593305
AT5G48250,2.447344587,50.99206218,215.0470172,59.51315311
AT5G24930,405.1333034,313.2385117,301.6479629,347.8146359
AT3G61890,43.99637255,9.581782686,7.899069567,164.7831866
AT2G45660,16.92797806,105.1010995,191.5602605,180.0361053
AT2G28550,37.50369493,150.1608678,164.7040522,72.03621963
AT1G49720,2.070861252,42.90668959,157.3261362,65.96727332
AT1G68520,47.44282857,145.2182598,178.3947076,95.93953163
AT1G73870,129.2983624,32.51623858,11.00651498,19.03055968
AT3G45260,4.535709681,75.732073,123.0332555,49.11306653
AT2G18328,155.3657643,200.8738317,183.9803737,127.480593
AT2G31380,103.9944875,210.3719867,147.9531436,165.7682563
AT2G20570,183.8943045,123.1570537,76.83848039,84.32436014
AT3G07650,1.002805571,20.77558596,111.0204642,40.35152263
AT1G78600,4.650163479,93.77314737,79.33745912,8.59046428
AT4G27410,9.451646937,12.81343333,31.77281327,106.7626576
AT2G46830,196.4763001,223.9876787,143.588008,128.135172
AT5G47640,40.8397403,8.334593867,5.175984691,82.83823936
AT2G41900,50.64262152,53.87217379,70.80973009,144.5037463
AT1G19350,126.5277127,73.10398059,34.00496547,33.46849039
AT3G02830,154.0629767,122.7811339,84.87414076,55.90806905
AT4G34000,102.8944866,43.10554222,16.1719285,30.63984342
AT5G44190,84.35870787,165.9139618,79.93139644,86.10783339
AT5G63790,40.71894923,45.65017225,62.57531401,129.7865237
AT2G21320,56.92635805,69.16842727,49.12844355,56.0414891
AT5G62430,76.16057649,63.56973767,14.7944801,100.1749111
AT1G76580,4.345674893,28.62919582,92.46871807,56.91486128
AT5G07580,72.7818383,92.70941758,64.80079561,14.87612656
AT5G04340,9.98129555,11.52296587,65.78452012,73.88617436
AT5G24590,81.70929885,15.75771746,29.13500482,13.62986894
AT5G61590,31.53215605,58.30836338,76.71358908,7.991190551
AT1G25440,64.72098038,100.9662832,87.59147514,63.83625411
AT2G40140,93.26977025,34.96397357,89.28429485,78.29663858
AT5G28770,20.39756304,80.43665628,46.59917715,18.19914726
AT1G28050,1.504082137,12.32310129,67.63638273,26.85853155
AT1G21910,58.9390914,2.293921315,1.680964958,1.134978468
AT2G47890,1.420337754,23.95042439,66.20334267,55.96135537
AT3G59060,85.10762971,62.41100214,39.05814095,25.67415451
AT1G71030,10.1731848,42.29365654,78.56324256,35.60197388
AT4G18390,17.8117073,47.45266334,83.77543882,43.87210923
AT1G06040,156.6266394,154.7492164,117.4862213,105.3553219
AT1G05805,4.535127073,57.12201938,57.27134883,31.54573997
AT2G34720,38.56991016,27.71858443,32.27306879,64.50545221
AT2G18300,19.28798621,60.75725025,54.91445833,15.3152417
AT3G44750,8.56585752,7.82574084,5.80808208,22.66808888
AT1G42990,62.42191917,30.84599589,30.81710986,79.26779681
AT1G22190,51.73257743,2.804305755,5.186395736,11.35183429
AT5G05410,1.67312078,7.498781104,52.52821721,9.172078428
AT3G02380,62.28142567,43.71630893,7.177277438,42.65976179
AT5G25220,71.81520336,41.71220482,19.93949817,27.70126885
AT4G37790,19.40566064,43.6073191,46.09465418,71.8659064
AT2G24790,136.6729746,105.3860273,113.3869919,97.68068077
AT1G14580,6.053108765,22.19845669,41.33580925,53.94305588
AT3G17609,79.37435447,81.20999817,42.24847853,49.70404679
AT5G50915,42.19351328,24.0855039,4.641769208,1.046073005
AT1G68840,45.6519145,8.859554004,13.1745508,6.175902157
AT3G46600,49.07894563,7.255603038,11.95360252,21.34061957
AT5G06710,9.638571883,33.38085237,47.8087058,27.64439099
AT2G19810,4.41215153,5.199606632,9.926576717,34.49204582
AT1G25560,47.51055483,60.77600957,53.05994982,36.69746255
AT2G01570,65.46551913,37.00415231,30.40117117,33.06774845
AT5G08790,11.2663553,18.3053854,29.09852659,52.882193
AT5G61270,41.63930841,74.39685675,73.27924255,45.89809608
AT3G14230,25.90018078,42.41896392,57.71713747,59.85897314
AT3G47620,10.46898115,46.71948296,42.69174636,38.74012101
AT3G50700,0.674385004,13.06204381,36.76993757,4.63703193
AT5G58620,14.40608447,9.653264865,19.50759488,44.35502369
AT4G01120,7.850370371,20.15858732,16.94543392,39.28595912
AT1G33760,30.94726941,1.190062383,1.675899365,0.107997176
AT2G46400,30.71524361,0.824036839,1.110964508,0.558001316
AT5G61420,58.34570356,46.41940127,33.96546538,25.63617309
AT4G14540,47.64706537,22.02174848,12.27391598,26.54486971
AT5G42520,14.56359226,17.64076753,31.40959367,40.65907281
AT5G06110,12.17024766,18.64958122,23.17793286,37.71214784
AT4G00050,55.36479188,38.70368065,20.63784121,33.74396053
AT1G28520,22.11683178,26.43732365,36.7486936,47.55510006
AT1G67310,13.18956838,16.14363845,36.69615795,39.15629029
AT3G54810,31.15640551,17.68228934,4.356920031,3.111048745
AT1G77450,9.815825501,3.717054682,4.14481611,32.43956357
AT1G30330,3.328024375,13.84252293,33.49458732,27.06453829
AT2G35940,60.64793617,34.35246422,30.18016032,48.25791499
AT4G36540,42.70044198,19.03190938,18.32580111,15.22693951
AT1G67970,7.136266534,13.71616229,38.34780278,19.69482376
AT1G26790,24.27423665,9.923859388,1.040865079,30.09838358
AT3G13040,53.57134577,34.59557153,31.25820165,34.40067752
AT2G17040,31.01355186,2.723104229,3.535604771,12.95784077
AT1G61660,52.84118243,27.82471684,25.6192754,29.90990941
AT5G61600,27.03727447,2.500759054,16.20207394,1.774007445
AT3G06410,18.19702283,28.70303888,44.58502824,45.02459717
AT5G59820,34.20335104,4.871942352,20.00200347,20.05567355
AT4G00150,33.83834904,14.87896618,6.826064886,7.83703408
AT2G41940,24.93318033,36.25161038,9.847974456,9.450424585
AT4G36920,4.722774051,29.51259156,26.33006887,11.82286102
AT1G09770,22.95144136,30.43737603,41.15640049,47.3960543
AT4G23810,13.3528576,2.228519347,6.275560544,30.58830653
AT1G19700,33.99696357,13.03621353,6.910091585,8.337123355
AT3G16770,60.32011379,60.91307379,77.06614486,63.74243813
AT1G14685,5.78904748,16.42338764,35.02075734,15.65991525
AT2G42380,9.792082772,25.79694104,1.968891728,0.282017457
AT1G61730,9.444448985,27.35518105,36.55473551,32.43400587
AT1G04990,3.614330978,5.334358825,15.91973621,27.38988338
AT5G59780,12.55112346,33.96224999,28.11888897,10.80907965
AT4G13640,6.753589232,15.0079593,30.26990591,28.80399185
