,exp1,exp2,exp3,exp4,exp5
AT5G43840,2.599052699,1.371257292,7.899938387,7.419960208,6.800066427
AT3G07650,5.728513584,3.799589888,1.670756044,7.560115525,9.359794623
AT1G66390,2.579845967,2.380107823,2.940210511,4.580276617,8.88997497
AT1G75250,7.909922984,7.809722741,6.369680382,3.879910148,2.479976253
AT2G26150,1.569815161,1.330296513,2.870115525,3.770173287,6.47004268
AT2G40750,4.099861371,3.91981131,2.940739357,8.699959566,8.069830564
AT3G02380,11.7799769,11.74977665,10.58954689,7.059936462,6.070129323
AT2G46830,11.53009242,11.649871,10.9796945,8.599842116,6.140179384
AT1G73870,10.33036198,10.79992876,10.42977665,8.689771518,5.130167831
AT1G68840,11.65744306,8.339922984,7.939894744,7.119899879,5.560031127
AT5G03720,6.619584112,6.079909506,5.61006418,6.109947372,5.289862333
AT3G58120,8.438382657,6.33934151,2.920494188,6.769810668,3.820035941
AT1G71030,11.57931455,10.69006546,11.03002567,11.22969001,6.400082151
AT1G52890,6.559414676,5.800791343,9.910048777,10.28997433,9.889940312
AT2G18300,10.99869842,9.309834415,8.450079584,9.069835057,6.499977858
AT2G47890,5.300462098,5.900573772,8.88012451,9.849976895,9.489947693
AT1G56010,5.27830564,3.080824075,7.360112957,8.239876132,6.310040434
AT4G27410,9.358798545,7.80082215,12.06990758,11.35000064,11.36003081
AT5G37260,6.989745846,6.659996149,6.640038508,6.940261856,11.01989442
AT5G17490,2.749391571,1.960695073,5.569994866,5.530010911,5.699995507
AT5G25390,3.960254154,4.290533338,7.060041075,7.380034016,7.90996438
AT1G31630,1.56155573,3.579383869,0.380042359,0.710229124,4.279883192
AT3G59060,12.08928375,11.1601059,11.70988448,10.80978435,7.450115845
AT5G28770,11.27868302,9.56979013,8.479913998,7.809918491,6.540038829
AT5G44260,8.43806689,5.930394709,7.9800783,8.589783071,5.209993903
AT5G32460,3.409206732,2.380483278,4.890086002,5.55981131,2.619951865
AT2G25820,2.401363189,4.170256079,5.500050061,5.890038508,6.490005134
AT1G56650,6.150177138,6.380425515,8.590074449,9.170028239,9.610006097
AT1G01520,6.111678957,8.29018869,9.26955844,5.829991657,5.700096912
AT5G61590,11.33731213,7.850159809,8.680224631,10.42982479,7.699994224
AT5G57660,12.53924524,11.56000193,11.56993582,11.06979976,7.950072524
AT5G07100,5.697781929,2.820134779,3.520152749,4.709796548,1.540017008
AT4G17490,6.117165798,2.440258005,3.779739428,1.750126435,3.719956037
AT2G31380,10.88050831,11.53974007,10.18981901,8.779913998,7.440107823
AT3G18650,1.450254154,1.780593026,4.85998588,4.749985239,4.519955074
AT5G48250,6.980038508,7.029870998,6.360396634,9.450009627,9.599892498
AT4G21050,3.438644512,1.680248378,2.9703132,5.409736861,1.310085681
AT5G39860,8.430408187,8.959915282,8.519788205,6.869937103,5.889983634
AT3G53600,3.537735719,0.600508308,3.239693218,0.850144406,3.099910148
AT5G06510,4.201563432,6.230340797,7.999946089,7.580005776,7.670006739
AT3G49940,10.40835185,8.269715039,6.789946089,6.370071882,7.489984276
AT5G13330,5.549114312,4.399884475,3.800310633,6.21998588,6.00006065
AT1G28050,5.879745846,5.550127077,6.210293946,8.500025672,8.899914319
AT2G31730,7.509614918,7.00957641,4.810240034,6.680004493,6.750076375
AT2G46310,8.209222135,7.199424303,4.210219497,5.920019254,6.219973686
AT5G49450,11.3376433,8.280051986,8.550047493,8.919901162,7.380015724
AT1G68510,2.419676531,2.000419739,4.180115525,5.080002567,5.11998203
AT1G77450,7.299815161,7.060575697,10.04982415,8.680093061,10.12997978
AT1G73830,9.598713827,7.929845967,7.129937103,6.63996791,6.139999037
AT1G49720,6.250585324,7.010309991,8.62009627,9.369936462,8.379931648
AT2G20880,3.822256579,6.750109748,7.319958925,6.999913998,5.659989089
AT4G17460,10.24902189,8.979859445,8.249908864,7.539948656,6.740010911
AT2G25900,12.01798217,9.400157884,10.21997433,10.01989667,8.410008985
AT4G09820,2.491247665,4.110227198,5.289667546,2.700094345,4.170046531
AT4G11880,2.380546816,3.090529487,5.839707338,3.559996791,3.510047493
AT5G15840,5.690177138,5.919819012,4.980118092,5.900087927,7.269876132
AT1G02340,6.170646937,7.010038508,7.209957641,6.879822221,4.11002503
AT2G26320,2.149368466,1.330714327,5.039786921,3.379990373,3.230007381
AT3G29020,2.522302789,5.509755473,4.240071882,4.79990758,3.35996791
AT3G11020,5.949014191,4.670367753,6.580165585,7.869973044,7.449925551
AT4G31620,3.801463311,5.699618769,3.720227198,5.489985239,5.259912073
AT2G22750,4.959869072,4.789767026,3.579948656,3.179910148,1.780097233
AT1G18710,6.289738144,5.950498681,8.539988448,8.450029523,8.909968231
AT5G40350,1.650854882,2.759905655,2.270223347,4.010053911,4.849908864
AT5G60140,4.918290237,2.700073166,3.08024902,5.019842758,2.570083434
AT2G21320,9.620839478,10.7096438,8.859962775,8.5699217,7.350091778
AT3G02550,9.028382657,6.929915282,6.490019254,6.639970477,6.179976574
AT1G33070,2.040677744,2.920175212,3.830137346,4.899998716,4.879925872
AT2G37430,2.229406974,1.460569921,4.419761249,2.559908864,1.140010269
AT1G54160,7.470462098,8.070329245,9.779976895,9.600009627,9.75002856
AT3G61890,9.410508308,10.07049868,12.65982158,11.26998716,11.07002888
AT1G18860,5.22004621,5.279815161,4.319983313,4.189926834,3.049976895
AT2G36890,3.291832989,5.669428154,2.700145047,3.830102047,5.419951544
AT2G34830,4.540593026,5.309919133,4.889911431,4.200054553,5.049904692
AT1G28300,4.048244027,1.770679669,5.299752264,3.370060329,4.309984918
AT5G65790,1.769922984,1.670456322,4.039717607,1.83995379,1.120077658
AT5G53200,8.310623832,9.119743921,7.789794623,6.190000642,6.200034336
AT2G34140,3.170354275,3.629768951,2.430261856,4.470082793,5.759923625
AT1G06160,6.197319831,2.720254154,4.040037225,4.330038508,4.929965343
AT3G50870,5.778644512,4.019745846,2.70001797,2.840093061,4.289965343
AT4G21440,5.380700849,6.290385082,8.289943521,7.849977537,7.50001765
AT5G57520,4.908390358,2.820464024,5.230028239,5.449842116,2.990050702
AT2G42380,6.867527775,3.660215646,4.779988448,4.68995379,3.970013799
AT1G33760,1.800300364,2.189876774,1.550350424,4.279880625,2.419955716
AT4G34000,8.960238751,9.270535264,12.0498357,10.76999422,10.67999487
AT1G69600,2.350154033,2.550017329,2.640161734,3.899784996,0.550033695
AT5G17260,3.739014191,2.460585324,5.499942238,5.049944163,4.180019896
AT1G62360,6.898321044,4.720231049,5.920020538,6.07998588,5.859936462
AT2G22200,7.229553305,6.650290737,8.159771518,6.379999358,6.369953148
AT2G21900,4.7004698,5.309901804,4.800088569,5.489822221,2.720091457
AT3G10040,6.339730443,5.989878699,5.359738144,3.320116808,5.139988448
AT5G62110,0.380824075,1.449591813,-0.669635456,2.169938387,1.20995732
AT5G15850,10.85036968,11.32989218,10.76977794,9.039987806,8.850065143
AT5G05410,7.129838266,6.920311916,8.540119375,9.469982671,9.199958925
AT3G58780,4.049607217,3.539767026,2.330356842,5.109919775,3.85995379
AT3G62090,4.420924196,5.620184839,6.580070598,7.129991657,6.999950902
AT1G69540,4.079183627,3.020273408,4.440024389,4.630005134,4.709916245
AT3G04420,2.29127077,3.939749697,2.640297797,4.959840833,2.480039792
AT4G37850,2.869083505,1.680429366,3.909662412,1.280012836,1.480002246
AT3G30530,4.210955003,5.449626471,3.510161734,4.769925551,3.609965022
AT4G00232,5.230146331,5.419688084,3.800146331,4.940044284,5.629916566
AT4G36990,7.290023105,7.320171361,8.210051344,8.610008343,8.740042038
AT2G38250,3.92882165,2.400506383,5.030033374,5.289930043,4.200010269
AT2G18490,0.921910006,3.399541753,1.020002567,1.039990373,0.889992619
AT1G07540,2.970154033,3.16990373,2.669930685,2.130058404,3.040067389
AT4G22680,1.881455609,3.770148256,4.539890894,3.689906297,2.230047173
AT5G57620,2.662233474,5.559844042,4.749952507,4.380043643,5.059961171
AT1G67970,6.360130928,6.530136704,7.240210511,8.879956999,8.209950902
AT2G14210,5.029268345,4.080065464,4.420137346,5.489809385,2.520060009
AT1G13290,3.562079442,6.259973044,6.119962775,5.83,5.830006097
AT2G40220,3.061925409,5.559976895,5.439992298,5.380012836,5.579959887
AT3G55980,9.88802068,7.320013478,7.389980746,7.240023747,7.610009627
