,exp1,exp2,exp3,exp4,exp5,exp6
AT1G33760,9.448089994,8.205787205,2.739842116,1.920034657,2.190031448,2.680003851
AT3G07650,4.807119588,2.940623832,3.749784354,2.630854882,9.290025672,9.689770876
AT4G17490,10.03869072,9.188120801,6.749470513,4.000222064,5.729903088,4.219923625
AT2G46830,11.14016944,11.25017714,11.47959181,9.359695785,6.989865863,4.900213399
AT2G37430,6.660831777,7.199299151,6.289353063,2.929816444,1.500033374,2.019988448
AT1G73870,10.29946089,9.949684233,9.539948014,9.269664979,6.659839549,4.160215967
AT5G17490,4.314312916,7.111293875,8.789476289,6.069717607,3.869886401,2.100027277
AT3G55980,12.96833645,11.88782814,9.069782429,7.939940954,7.48002118,7.81000353
AT3G02380,11.49901419,10.8595302,10.25001348,10.31960722,7.259986522,7.050173608
AT3G23250,8.51995379,8.490200243,8.749605291,6.699878057,5.749951223,4.989950581
AT2G40750,7.357396847,5.669414676,4.910750909,8.810187406,10.26993325,9.229904692
AT2G47890,4.431340085,5.301886901,7.750140555,8.480118092,9.399944805,8.539896349
AT1G10585,6.958213221,5.803550454,10.41005199,10.67982158,9.289956999,8.619950581
AT3G46130,6.676765313,4.57957641,4.030702774,7.680051344,8.080041717,8.7299785
AT5G37260,6.789892177,6.720077016,6.820013478,6.890154033,8.09022784,11.63987292
AT1G74930,11.79656507,9.568944876,8.199965343,8.019971761,7.799911431,6.42003209
AT5G04150,5.079430079,4.709037296,3.459778578,2.310243885,4.210145689,6.480023426
AT3G53600,2.383742995,4.810023105,4.839414676,1.799946089,1.380011552,1.559970477
AT4G17500,11.14893717,10.45909891,9.289557156,6.990164302,8.269991657,8.139956999
AT5G22380,6.019168223,5.477951365,2.819757398,1.560164302,2.839971761,2.40001797
AT1G21910,11.37798217,10.0681131,7.620019254,7.719897312,6.92003915,7.530029202
AT1G68840,12.46702717,10.53894488,9.170238751,10.40971119,8.159972402,7.730072845
AT1G13300,4.557704913,3.069638023,2.600315767,4.240231049,6.040061613,6.999959566
AT2G25230,4.252868286,-0.368652214,1.380103972,1.920005134,1.959973686,1.550080225
AT5G59820,11.06799757,9.769337659,8.909753548,7.629960208,7.319989089,7.149991336
AT2G26150,5.466688297,3.322533838,6.609732368,5.219589246,2.020172003,4.700031127
AT5G61600,11.36417756,7.589399272,6.810136704,7.520028239,7.739975611,7.359989731
AT3G44350,4.181571134,5.197273621,1.659963417,1.470106539,2.299965984,1.76998203
AT3G59060,11.86919903,11.34969964,10.96007317,11.33986522,10.28981901,7.470128361
AT2G17040,10.22738144,8.527604791,5.420427441,7.639980746,7.490027598,7.919993261
AT5G06510,5.146549667,2.910816373,3.970525637,6.700005134,6.739929402,5.640008023
AT1G49720,5.769845967,5.670030807,5.71044862,8.040100121,8.819940312,7.889927155
AT1G22130,4.658890965,3.939792056,3.669645725,1.83051601,5.849946089,5.009924588
AT1G01520,6.218598302,5.311039721,6.659734294,5.279775369,3.530037866,4.120105897
AT1G71030,10.77778193,9.340931898,10.55036583,12.44989346,11.61980361,8.560100763
AT1G28050,5.451571134,6.470877986,7.609917207,7.180232333,8.989923625,7.799913998
AT2G12940,1.722818799,3.550955003,4.78955138,2.459795907,0.870048135,1.619998716
AT5G62110,-0.060770164,-0.559614918,-0.059514797,2.459901162,1.689804892,-1.349920737
AT1G64380,7.531571134,8.550438993,9.119428154,6.150042359,6.480016045,6.729956357
AT5G57660,11.98061613,12.37991528,12.27000963,12.31989089,11.46981965,8.660111353
AT2G22750,3.641447907,4.580231049,4.87990758,4.399713756,2.169949939,1.390093382
AT5G41920,5.839768951,5.690100121,5.820275333,7.250086002,7.919976253,7.549890573
AT3G30260,4.33839806,3.299638023,2.829761249,1.590485203,5.369793339,2.150065464
AT5G35900,4.786226199,2.341478714,4.26009242,4.739866505,3.69987549,1.760112636
AT5G48250,6.300908793,6.890077016,6.989994224,6.960342723,9.629973686,9.219918812
AT5G04340,10.19825943,9.07080097,10.10956486,7.84998203,7.709975611,7.329989731
AT5G44260,7.957520073,6.349091207,5.170600728,8.289934536,7.779829922,5.13003562
AT5G13330,4.240970406,4.871247665,6.490034657,6.670086002,7.340034657,7.879967589
AT2G31210,1.791093632,2.499237538,1.509826713,0.610214362,2.2799217,1.060114241
AT1G68640,5.244716678,1.821355488,3.58018869,4.5600783,5.169969835,4.699938066
AT2G40140,11.22665749,9.059037296,7.810030807,7.969991015,7.900018612,8.189976574
AT3G18650,0.980693147,1.431779078,3.739572559,1.520288811,3.769998716,3.749991336
AT5G03680,4.736503458,2.472580048,5.819980746,5.719775369,3.97002118,4.30005712
AT2G36890,1.801047422,2.481548029,4.489984597,4.41006418,4.909996149,4.849933573
AT5G40350,1.92160194,2.962110248,5.699353063,2.340121943,3.289922342,2.080027598
AT4G18870,2.363696785,4.758960279,3.410271483,4.820007702,4.879815161,2.000091778
AT5G24590,10.41003081,10.4285829,8.589849818,7.81,7.809992298,7.689997754
AT2G46400,10.83845967,9.838944876,8.469998075,8.459880625,7.530019896,7.839987164
AT3G58780,2.380431292,2.660100121,2.790311916,4.410204093,5.999847251,3.620006418
AT1G62360,5.707366041,4.000947301,5.23037738,7.189975611,6.999962775,6.42003562
AT1G77640,9.067797332,7.638844755,6.139959566,5.930003851,5.959974328,5.560037545
AT5G65790,3.261001213,3.907820437,1.080107823,1.640229765,3.430060971,4.379980425
AT2G32930,6.148906368,5.441078229,6.839715039,5.359783071,3.67010333,5.279941275
AT3G61630,7.129815161,7.010007702,7.01990758,6.539761249,4.67996085,4.070061613
AT4G23810,9.967242815,8.179206732,7.149994224,7.120015403,7.23996085,6.629992298
AT2G22200,4.753558156,7.060577623,7.809759324,6.559726592,4.430137988,6.579987806
AT5G53290,5.031678957,6.121263068,7.759715039,6.279804892,4.75998203,4.480002246
AT3G53820,3.439630322,3.20051601,3.869851744,3.100074449,3.680050061,4.459878378
AT2G31380,10.30984597,10.21132468,11.9298864,11.3396791,8.84001797,9.1200783
AT3G56980,5.601124439,6.329276046,5.389822862,4.470145047,5.600170078,8.249947693
AT5G15850,10.13036968,10.37063924,11.19981901,10.25968423,7.800119375,9.660056479
AT2G36610,3.217196605,1.40117835,2.929545604,0.570021821,0.739967268,0.23001797
AT5G49520,9.070446695,9.360146331,9.549620694,7.579928118,7.019997433,6.980001284
AT2G21900,4.881417101,5.799630322,5.319913357,4.870116808,5.779786921,2.460104293
AT1G74430,8.661632747,9.720600728,10.49946474,7.720071882,8.279936462,7.29001412
AT1G66390,2.171170649,2.92966883,2.500152107,3.289844684,2.080217571,5.46993935
AT5G45980,2.374420739,5.240523711,5.919834415,5.060012836,5.16002118,5.48999294
AT4G17230,10.36010782,10.4290681,9.219834415,8.360043643,8.699956357,8.0199785
AT5G15840,3.232079442,4.579006489,3.290073166,3.670238751,5.530049419,6.299936462
AT5G25160,2.803989447,5.388744633,3.760408187,5.879663695,3.260099479,4.810004814
