,exp1,exp2,exp3
AT3G63350,3.144959853,6.363912431,11.43981516
AT2G26150,7.425314128,10.87216416,13.67996919
AT5G03720,5.346549667,3.112287386,6.080619982
AT4G26170,3.41155573,4.416819225,0.289919133
AT1G07540,2.339553305,2.050970406,3.310571846
AT5G52170,7.208321044,6.11990758,5.999372317
AT4G10240,3.245286599,0.192479927,3.410171361
AT1G16530,7.617350637,5.898667617,4.169922984
AT5G62110,2.902510733,4.528159309,2.139649576
AT5G05410,9.552911218,11.44137089,13.21999422
AT4G31630,4.550600728,4.93750467,1.700026956
AT1G06170,3.52080097,4.038405761,1.969676531
AT1G68240,5.877766526,4.43174057,6.690338872
AT1G80580,0.694328319,3.499098909,2.330437068
AT4G37780,4.496980959,2.53844427,0.520250303
AT5G06510,3.905575984,7.518860158,6.040217571
AT5G44260,6.494732081,3.081840691,5.470204093
AT1G56170,7.651078229,8.351532625,10.34013478
AT5G23000,4.701032019,5.367743421,2.439948014
AT5G07500,1.574790417,4.680300364,5.069797832
AT3G53600,5.019491692,4.689807459,4.439457035
AT2G34440,1.783835414,4.267627896,1.190531413
AT1G33070,2.79400485,5.387289024,1.870155958
AT1G66380,3.241463311,4.187697211,1.20065849
AT3G13890,2.221124439,2.952040933,5.599697711
AT1G59530,4.516580474,2.299014191,1.020400485
AT1G60240,1.015375741,4.498297939,2.290146331
AT4G27240,5.800539114,6.148082293,3.659936462
AT3G12910,4.941109035,5.657604791,2.55014248
AT2G28610,4.325979746,1.72197932,4.29011745
AT1G26680,6.1009396,6.708914069,5.299645725
AT2G42410,4.115748697,1.362333596,4.389911431
AT1G31630,3.165117163,0.001116737,1.449828639
AT5G53980,5.416441844,3.110308065,3.509732368
AT4G36990,10.96169436,12.06122456,13.65003081
AT4G18870,2.880077016,2.930115525,3.079462811
AT5G04150,5.870338872,6.089661128,5.649534051
AT5G15800,4.576580474,2.360985809,3.640348499
AT5G48670,6.427489267,4.799160522,3.70997497
AT2G32930,3.354543965,6.298036083,3.750138629
AT3G06220,2.08155573,3.089776653,2.800446695
AT5G56780,6.019722741,5.839684233,5.429578335
AT5G58080,2.174759611,5.258505883,3.320100121
AT2G25230,3.975717891,1.202002425,3.799795907
AT1G26260,7.880123226,7.959160522,6.869682308
AT5G50480,5.701755973,6.839014191,5.559655352
AT1G01030,4.480616131,4.878390358,2.78990373
AT3G24310,6.07915282,5.530115525,5.680483278
AT2G20350,3.736395635,1.40117835,2.930244527
AT3G23240,6.336072166,3.791732868,6.040053911
AT5G56860,3.461987022,4.748167011,2.370506383
AT4G00130,1.364543965,4.309168223,3.229965343
AT5G43840,2.138182414,0.959845967,0.760506383
AT1G21970,2.693727592,5.107943663,2.440248378
AT5G18000,2.549276046,2.080308065,2.480435142
AT3G12820,6.728197817,5.559961492,5.509672681
AT5G37260,8.090323469,8.301447907,10.18003273
AT5G35900,5.0590604,4.448675319,2.730521786
AT1G14580,5.628875561,4.899383869,4.099757398
AT2G28700,2.653850818,5.14844427,3.129909506
AT2G22760,6.025918133,3.381779078,5.689851744
AT3G11020,5.910770164,6.410747059,7.380231049
AT1G09530,5.050955003,5.669399272,4.890492905
AT3G51910,10.13274178,11.91078557,12.92971696
AT1G55950,1.253958641,3.81844427,1.799967268
AT1G65360,2.513619769,4.860030807,4.899940312
AT2G40210,2.713696785,5.109591813,4.580103972
AT3G07650,5.51009242,5.56966883,5.140481352
AT5G15840,4.700261856,4.868459673,2.869988448
AT2G33810,5.360369679,5.599707338,5.219605291
AT1G22985,7.880184839,8.000300364,8.390365828
AT1G68880,8.5109396,9.11839806,7.039957641
AT2G17040,5.502079442,6.848783142,5.269780503
AT5G55020,3.043958641,5.609329958,4.74007124
AT2G22750,3.057935962,1.721494117,3.660130928
AT5G27580,2.752587749,4.429283748,3.500344648
AT2G30130,7.701170649,8.46089339,9.62009627
AT1G43950,1.031879199,2.249630322,1.770356201
AT2G18300,2.72679612,0.649838266,0.440026956
AT4G17695,6.140770164,6.638544391,4.749926834
AT1G73870,1.709553305,1.421432504,3.280055837
AT3G59060,4.277134992,2.419861371,2.240361977
AT5G67180,5.088829351,4.330477501,4.949572559
AT5G03740,9.920539114,10.2709627,11.52013478
AT4G36060,6.738998787,6.08966883,5.659724667
AT5G43410,3.696334022,1.320292662,1.700026956
AT1G49190,3.60164815,4.668005276,2.08025993
AT2G03710,5.440338872,5.658244027,3.380194466
AT1G63650,6.701540327,7.699360764,6.869676531
AT1G72830,9.830246452,9.988559794,8.119994224
AT3G50890,3.002587749,4.678736932,3.040367753
AT1G20640,8.591032019,9.261124439,10.71997882
AT2G16910,2.353927834,4.899075804,3.699994224
AT4G24150,5.591001213,6.238528988,4.330462098
AT2G36610,0.213573559,2.529360764,1.69981131
AT3G04100,5.266965556,3.30155573,5.319705412
AT1G56010,9.358613706,8.459699636,8.069770876
AT5G56270,6.750955003,7.368937174,5.989807459
AT1G18400,5.961571134,6.980462098,7.580155958
AT1G10170,8.940631534,9.349969193,9.310365828
AT5G51870,1.27325009,3.37990758,3.260005776
AT3G30260,5.690616131,6.088267132,3.840154033
AT2G25000,8.070308065,8.26877544,6.679909506
AT5G42640,4.520877986,5.088336447,2.930069315
AT5G61420,9.409892177,9.339191328,8.289801683
AT5G60890,10.70943008,10.33870613,8.660053911
AT5G03680,6.789799757,6.658490479,4.700136704
AT1G52890,4.931632747,5.988113099,3.540279184
AT1G72570,0.498967981,-0.168652214,1.580086643
AT5G48250,7.220431292,7.500593026,8.270229124
AT1G71200,6.33164815,7.398929473,6.010417814
AT4G17710,5.041987022,6.328136204,3.910186765
AT3G27650,6.078321044,4.989191328,3.940026956
