,exp1,exp2,exp3,exp4,exp5
AT1G77950,4.809331883,1.339902189,0.070007381,0.300038187,1.490064501
AT2G42380,0.500103972,1.040120916,2.610091457,5.459946089,3.780015403
AT3G66656,4.200055837,4.489736604,1.069978179,0.389999037,0.360010108
AT3G58190,8.169984597,8.089774342,5.159973365,4.330070277,6.519954512
AT5G53980,2.469728517,1.060241831,4.2000215,4.869953148,3.410045247
AT2G46130,4.030481352,6.529991528,6.419956357,5.059922984,2.660022142
AT2G25820,3.88955138,1.560174827,3.830073486,6.119963096,4.969960288
AT4G37780,2.100077016,2.500258005,5.849885117,2.269995507,2.129991817
AT5G42640,0.550679669,4.079821322,1.759999037,1.730038187,2.919929001
AT1G63650,5.449251016,1.560219497,4.410040754,5.67996438,4.570011552
AT2G38300,2.080256079,3.409948399,2.740028239,3.619898595,0.459991576
AT5G49240,1.160654639,4.559741225,1.199995507,1.060050061,2.619958844
AT2G31210,1.590464024,3.999884475,2.499970798,1.589973365,0.760085681
AT5G55020,4.36004621,4.599806689,2.090070277,4.27992523,1.949988448
AT4G28110,7.290179063,8.220033887,8.659897953,5.480008343,5.73999639
AT3G24310,6.10009627,6.599829794,4.390001284,4.42994288,2.650050783
AT4G31620,1.369965343,1.18995071,0.549995828,0.420090494,3.240011312
AT3G12910,3.039759324,1.790273408,5.339984918,4.870005776,5.049988448
AT5G15480,5.06948399,2.389958411,1.849980425,1.240011873,1.610029844
AT5G10140,5.969955716,5.739861371,3.939972082,3.0700568,4.839948495
AT1G18710,4.789526349,2.330052371,3.009996149,2.890087927,5.629923465
AT4G36870,3.919649576,2.099924524,1.12005712,2.900054232,4.58999302
AT1G10585,1.980546816,4.819712729,1.090048135,2.590018291,3.16002118
AT1G28300,2.870198317,3.899804378,1.36003915,2.580018291,3.150052708
AT2G33720,6.399996149,6.379824403,4.100033695,5.149970156,4.219972804
AT5G53200,5.469509021,2.920042359,3.470061934,5.400023105,6.119988688
AT1G34170,2.460136704,3.169849048,1.20999294,0.9900215,1.660065705
AT4G17785,8.150240676,9.399957641,8.849947372,7.209980104,6.589988207
AT5G45980,3.739921058,3.329993839,3.250011232,3.599903409,0.590022624
AT5G52170,2.939853669,2.180127847,3.840033053,4.869962134,3.690050301
AT1G66550,6.529959566,6.319966113,5.879934536,3.840045247,5.249956678
AT2G46310,4.569491692,1.92999846,1.91004621,3.350017008,3.88002503
AT4G00130,3.169942238,2.870012323,3.030085681,5.699993582,5.499962214
AT2G42150,5.999924909,5.610015403,5.809968231,4.819973044,3.979971119
AT1G01530,0.39051601,3.069956871,2.509955716,1.12997144,0.24006041
AT1G66140,1.440602653,4.569938387,3.769993582,3.570009948,3.8800284
AT1G67710,5.999909506,5.529823633,3.239986522,2.820050061,4.379997834
AT2G22750,3.619767026,2.410023875,2.720059367,4.570017008,5.100004814
AT2G17040,2.120265706,3.500114754,4.989897632,1.800043322,3.150026715
AT4G22680,5.409959566,5.200008472,5.309914961,2.660013478,3.08001781
AT1G69120,4.35957641,2.160024645,2.480053911,4.15997497,3.379948977
AT2G34440,0.950127077,1.609995379,1.549983634,1.040008343,1.300068593
AT1G14580,6.110001925,6.119930685,5.219987164,4.819953148,3.360006498
AT5G32460,3.629501319,1.040120916,2.609924909,0.270042038,1.580011312
AT5G26930,7.790121301,8.4197651,5.370016366,5.880041396,7.169980265
AT5G07700,1.360438993,3.640036968,4.120004172,4.250007702,4.489962936
AT3G06160,1.700425515,3.909822862,1.609958604,0.320062576,2.269987726
AT5G06080,6.439922984,6.039878314,4.459997754,4.390004172,4.519971119
AT1G79840,4.290157884,5.110132468,6.83001765,7.379969514,6.430002407
AT2G22200,1.690500606,4.290014633,4.479993261,4.270006418,4.470008905
AT4G35900,5.139844042,4.329806689,1.820086964,4.52998235,3.979988207
AT4G00940,9.020073166,9.39990373,8.149957962,6.840005776,7.019996149
AT5G17490,4.779507095,2.22009473,3.450011873,3.820016687,4.3400284
AT5G62110,-0.419982671,-0.329800528,2.259953469,0.809959887,-0.439954031
AT3G13960,3.229859445,2.500113214,3.96989667,0.750081188,3.280005054
AT2G02060,4.740107823,5.299886786,3.830003851,3.949944805,2.230014922
AT3G44350,2.560086643,3.010070855,3.930030807,4.890017008,5.419984115
AT2G20350,2.879896028,2.340126307,3.979915924,1.360020217,1.990053911
AT1G56160,2.050342723,3.829993839,3.749946409,2.080018933,2.670053189
AT2G33500,2.290169436,3.169973044,2.820010911,3.160055195,4.880003129
AT5G10280,7.04990373,6.549986137,6.369996791,6.269922984,3.870041396
AT2G44745,3.609462811,0.820027726,1.18,1.179994545,1.010038027
AT1G31630,4.009716965,2.539994609,2.469972402,1.609999358,1.59006041
AT5G41410,5.509998075,5.499921443,4.479944484,2.750024068,3.500008664
AT5G43410,1.280279184,2.730083178,3.809974649,3.020042038,4.329947292
AT5G04640,2.659715039,1.180070085,2.090035299,3.189901483,0.120049339
AT1G56650,4.759884475,4.159910661,2.999965664,1.930036583,3.070035861
AT4G33450,3.61962262,1.660115525,3.160027918,4.029910789,1.250034417
AT3G61950,3.060225273,4.229755858,1.060072203,3.309988768,2.95997858
AT1G03490,4.529539827,2.140100891,3.449939671,1.570062255,3.509972563
AT1G13600,7.379944163,7.089832875,4.920008985,5.200000963,5.229999759
AT5G65070,6.019688084,4.400082408,5.469919133,2.950054232,4.640018532
AT1G31320,3.209715039,1.730182529,4.099942559,2.310064822,4.329996149
AT3G01140,4.979830564,4.099829794,1.890031769,2.880026956,3.720009386
AT1G75250,4.519932611,4.170137089,5.950026635,6.77996791,5.779962695
AT5G42910,3.259755473,1.990010012,2.12004974,3.669937745,1.730064501
AT1G77980,2.310433217,4.559823633,2.270007381,2.499985239,2.040049098
AT5G11590,3.550105897,4.099842887,2.059987164,1.660032411,2.669969915
AT4G37850,7.799940312,7.489889096,6.050070598,8.250013799,8.680009146
AT1G23420,2.700435142,4.959996919,4.920018612,5.499949298,3.920034417
AT5G23650,4.389464736,1.610041589,2.149993903,1.959993582,1.760031288
AT2G36450,3.530198317,4.559900649,3.270042359,4.589972723,3.739950902
AT5G16770,7.800051986,8.069961492,7.569958925,6.289983313,5.769999519
AT2G32370,4.819474363,2.089989988,1.960039792,3.199986843,2.790018532
AT3G10590,3.629932611,3.280214105,6.059962775,4.89998235,4.349979783
AT3G24140,4.529707338,3.009875234,1.390024709,2.160026314,2.980003129
AT5G10120,4.570028881,4.719795137,2.060017329,2.60002503,3.380000241
AT2G35310,5.499924909,5.109819782,2.770045568,4.189968873,3.220019976
AT4G04450,4.419611067,2.400224118,5.309981067,4.720012194,5.099990854
AT2G45660,3.2997651,2.080207174,4.770005455,4.939967268,3.919993983
AT2G06020,1.329770876,0.140223347,3.039962134,1.860007381,2.090015885
AT1G49190,0.98007124,1.350053911,2.049979783,1.420001925,1.480057522
AT5G56780,2.170273408,3.59004929,4.229919133,1.710062897,3.670009386
AT1G26780,3.939772802,2.760073936,3.720005134,3.87991464,1.22005343
AT3G27920,0.040365828,1.940040819,2.469965984,1.410051986,3.029981709
AT2G45650,0.46051601,3.13985906,1.309999679,1.299966305,0.25003562
AT3G56980,5.660136704,6.36981208,3.930045247,5.339991977,5.090043081
