,exp1,exp2,exp3,exp4
AT2G26150,4038.244837,2785.741823,1093.978396,243.2369512
AT3G16770,83.13509172,125.1843991,369.7951711,777.5564108
AT4G36990,573.9580294,163.8811536,118.337828,84.49901244
AT3G51910,434.1385752,58.05667853,47.76151532,24.63150169
AT5G49450,5.49242497,80.40015433,104.9729977,136.1026288
AT5G05410,394.9257941,248.4513613,173.3663513,116.5222897
AT2G46830,187.006813,237.948906,128.1557182,14.70373763
AT5G57660,33.13096803,136.8265685,195.7817731,192.2492236
AT4G27410,33.27803627,75.00735845,70.01287117,114.7502275
AT3G63350,187.0664498,18.04234562,12.94427861,1.70495517
AT4G36730,23.01987344,69.10019579,93.99608592,126.4974838
AT5G37260,132.8496139,52.95104565,29.93865907,40.21165298
AT5G24930,253.3111377,290.3644588,208.2493559,151.4735091
AT5G63790,43.12601215,27.6096336,16.96664508,27.02142023
AT3G07650,2.990922078,7.781694674,28.77518803,78.44713955
AT3G46080,0.787770008,25.55769276,30.9564549,69.20668733
AT5G03740,49.57228101,76.99701321,92.68229014,143.9446015
AT2G24790,69.40677393,135.7417216,164.7264322,93.55758509
AT5G24800,21.21659441,45.07886602,82.98435773,104.1397949
AT5G54680,46.93545316,59.68258707,126.5728447,139.7340106
AT1G52890,1.386392013,3.422351708,6.162801676,18.65613303
AT1G10170,148.1453612,134.4369006,86.92250268,48.01420634
AT3G02830,119.8559276,62.35775266,44.85055485,22.33459666
AT4G01120,11.586256,23.30214767,32.24299005,47.67028501
AT1G78080,74.92327416,91.9289657,122.8214904,146.0429965
AT1G22190,42.43824014,64.45733649,74.86912938,92.46673595
AT4G25210,92.17073402,101.1667139,36.62106701,22.08516295
AT3G55980,15.72091284,20.46190173,27.4877896,55.37161369
AT2G20570,102.9091942,31.21989757,30.42150536,22.71448627
AT4G28140,41.85628013,58.89040349,69.82259053,63.44539014
AT3G54620,16.35554372,34.75923527,52.17214684,70.0413328
AT2G25900,2.538855185,69.29467824,90.15701611,90.40753421
AT4G36900,3.961621346,43.54067009,72.13045542,94.80539748
AT5G04340,96.69882423,28.2804931,24.33202388,24.70583905
AT1G68520,39.20345932,103.8999096,95.40588929,93.67901423
AT2G21240,8.251737739,22.4702422,39.93706449,56.52316943
AT5G08790,17.90499538,17.88078718,16.22423663,35.4927295
AT1G72650,8.710016345,24.37450708,36.11700576,82.94639828
AT1G25440,69.91868883,83.88035268,78.8367712,59.69039277
AT4G20380,14.07639642,31.71586835,54.06046305,76.85524174
AT4G29190,2.712576349,47.24987887,69.67414358,56.33169167
AT1G49130,1.884383402,60.99509794,61.75559735,24.3214159
AT3G19580,3.152544813,16.36762666,21.24987337,34.85838678
AT1G02340,1.023344263,2.812001084,10.61086804,24.13643369
AT5G28770,7.251279586,45.05195418,44.69564931,54.81295301
AT1G71260,21.13179219,14.86185314,29.29912039,62.335296
AT1G73870,61.435221,41.80940622,21.60404667,6.750822445
