,exp1,exp2,exp3,exp4,exp5,exp6
AT3G53600,5.864374529,8.699345361,7.849514797,5.330005134,5.369863296,3.239988127
AT4G37780,4.710015403,4.720816373,5.779470513,3.029835698,1.749927476,0.620029202
AT1G10585,1.74174057,2.870308065,3.270248378,4.560305498,6.93970092,2.280007702
AT3G23250,10.96003081,10.98004621,11.03948014,8.339997433,8.319918491,7.050014761
AT1G74930,10.09924524,9.608151608,7.209840191,6.379961492,6.079987806,5.890013799
AT4G10240,3.669614918,3.420446695,3.999603366,1.940173287,3.28972595,-0.97987549
AT2G46510,8.154405335,11.0085906,9.179676531,7.499906297,6.769969193,6.290009306
AT2G42440,2.477366041,0.772194966,3.619994224,3.590342723,6.259849818,3.919953148
AT3G55980,12.03993839,11.99889867,10.56976703,9.35988961,8.499981388,8.210006418
AT2G46830,8.358921771,7.659638023,7.189819012,6.249758682,4.370033374,4.89011039
AT2G46400,11.29021565,11.42912972,10.29975932,9.049910148,8.349944805,7.490014761
AT5G22570,10.2528188,12.07887556,10.61980553,9.609845967,8.409927476,7.280056479
AT5G22380,4.562171861,5.969792056,5.699695785,4.119813877,2.67000706,2.779978179
AT1G01520,4.244331596,0.572587749,3.930078942,4.339607217,1.280037866,1.870036583
AT1G16530,7.269661128,7.049137417,5.92969386,4.339892177,3.500247736,7.35997497
AT1G06170,3.959353063,3.540539114,4.239661128,2.479726592,0.350284319,4.779978821
AT2G17040,6.210677744,6.650361977,7.119568708,4.879833131,3.580008985,3.720018291
AT4G37850,2.962310491,4.459938387,4.379782429,3.249839549,1.999897312,0.400091457
AT3G44350,2.582865008,4.439068102,3.229855594,2.479861371,1.399976253,1.029977537
AT3G59060,2.380231049,2.53197932,5.099751622,3.810021821,3.979827355,1.290013157
AT2G20880,5.162895815,7.041016616,8.359251016,4.470097554,5.229992298,5.110023105
AT5G23000,4.416257005,1.991101334,3.420009627,3.47012451,4.440104614,6.069975932
AT5G53980,3.009753548,2.850693147,3.749867147,3.060433859,6.439848535,4.080034978
