,exp1,exp2,exp3
AT2G26150,4.172045358,11.98177908,14.28985559
AT3G63350,2.379768951,2.236338446,10.45944356
AT4G36990,6.792510733,8.423612067,13.10979976
AT3G51910,6.424867434,9.58249533,12.81954945
AT5G05410,6.552372104,8.092895815,11.84995379
AT1G18710,6.748059188,5.487119588,1.750107823
AT3G07650,4.987443057,3.329568708,2.770879912
AT5G16600,4.504374529,7.34080097,8.380088569
AT5G59820,5.8409396,6.452895815,10.20945511
AT5G04150,6.147227411,4.351047422,5.709274121
AT1G22130,1.895144692,5.229915282,5.120152107
AT3G56980,6.018598302,5.111016616,6.429251016
AT1G69810,4.011263068,4.827158097,1.140217571
AT2G37740,2.503943237,5.060492905,5.700098196
AT2G36080,4.261725166,5.38169436,7.579973044
AT2G25230,3.464762888,0.072379805,3.159653426
AT2G27220,5.3090604,4.698197817,2.360003851
AT3G02380,12.59912201,12.02929915,11.11961684
AT2G34440,4.997689509,3.498451971,1.490167511
AT2G36610,0.241617343,1.289614918,0.790552592
AT1G56170,8.201755973,9.341501819,11.28997497
AT2G31730,7.320646937,7.741008914,9.050302289
AT1G01030,5.85070855,6.309514797,5.679491692
AT1G66550,2.544081867,5.189992298,5.180111674
AT1G33070,3.042587749,4.717573985,1.570067389
AT1G06170,2.866980959,0.912610854,4.299655352
AT2G47890,5.549676531,5.339414676,4.580600728
AT5G15130,5.295887327,2.629776653,2.340171361
AT4G17490,1.701201455,2.481748271,4.749767026
AT1G56010,6.30080097,6.818467375,4.829830564
AT3G46070,5.080677744,5.517797332,2.660489054
AT4G17695,6.859614918,6.608937174,5.229770876
AT5G03720,6.4290604,5.820739357,6.780396634
AT1G43950,0.669738144,0.50216416,3.30974007
AT1G31050,4.228675319,3.371609642,5.459410825
AT5G18550,7.909861371,7.819229836,6.819674606
AT3G04410,3.362048635,4.690207944,4.959464736
AT5G61420,10.56922984,10.06871383,8.39990758
AT2G40750,4.118197817,2.9495302,2.340554518
AT3G11020,5.790138629,5.881378593,7.67011745
AT4G36060,5.346257005,2.921963917,5.469982671
AT4G24150,3.75160194,4.789537902,4.190452471
AT1G31630,1.641863796,2.848082293,0.359980746
AT5G41920,4.033712188,6.439137417,5.320267632
AT1G49720,5.540231049,5.690431292,6.250371604
AT1G68640,5.689584112,5.41839806,3.340059688
AT3G61950,7.080169436,7.188036083,4.640406261
AT1G59530,4.250154033,4.349021892,3.079753548
AT1G63650,6.589568708,6.309376168,5.499697711
AT1G66140,8.359645725,8.128490479,6.170009627
AT5G42910,2.093866221,4.599237538,3.61018869
AT1G02220,5.688598302,4.780077016,4.879618769
AT1G06160,5.167735719,3.700785567,4.720344648
AT4G33280,4.75320388,6.830069315,6.920082793
AT1G78600,8.629075804,8.030700849,8.940344648
AT4G12750,6.880123226,6.960207944,7.23040241
AT2G42380,6.05089339,6.629915282,6.520412037
AT2G46310,4.793789205,7.249638023,6.780065464
AT1G33760,2.937689509,1.442064038,4.119628396
AT1G10170,8.480415888,8.750154033,8.950388933
AT1G64100,4.078598302,3.170346574,3.620413963
AT3G62090,4.311463311,5.258012978,2.680421665
AT2G18490,2.018382657,0.970400485,1.49040241
AT3G49760,5.388290237,4.280824075,5.349547529
AT3G03660,2.931494117,3.901085931,5.309973044
AT1G17460,6.889768951,6.741116737,8.190175212
AT4G36920,7.439645725,7.209229836,6.2097651
AT4G15250,5.619537902,5.320531413,6.009514797
AT2G28550,8.840400485,9.098213221,6.780438993
AT5G61590,10.85790516,9.500061613,9.580431292
AT1G13300,2.703065251,4.690446695,5.269853669
AT2G47810,5.827042572,3.911501819,5.860111674
AT5G03740,9.140970406,9.77089339,10.93011938
AT1G20640,8.430662341,8.861578835,10.90975932
AT5G04340,6.541293875,7.381247665,8.999880625
AT4G23750,8.648136204,7.439014191,6.160383156
AT1G49190,2.371155245,3.121162947,4.629555231
AT5G06510,4.626980959,2.670431292,3.230319618
AT5G48670,6.07684233,4.029815161,3.790044284
AT4G00940,6.700015403,6.711678957,8.889832489
AT1G03790,3.170770164,3.671501819,5.619778578
AT5G56620,4.629984597,4.618829351,3.099892177
AT1G63100,6.949691935,6.749491692,6.089713114
AT5G03680,2.662710976,4.419799757,4.159641874
AT3G50700,7.539691935,7.339730443,6.990456322
AT3G04420,4.410600728,4.798267132,2.55040241
AT1G33280,4.587427654,2.921779078,5.229949939
AT2G18120,5.710739357,6.188174712,3.820204093
AT5G43410,2.219460886,1.871755973,4.149626471
AT5G48250,6.749599515,6.490723954,7.430263781
AT1G28050,5.540616131,5.938328745,3.770408187
AT5G01310,6.171032019,6.839514797,6.209663053
AT1G01520,7.538783142,6.749799757,6.489734294
AT4G34610,9.729029594,9.099052699,7.869948014
AT3G20840,5.520200243,5.648467375,3.660415888
AT4G00130,2.022726379,3.789815161,3.550159809
AT5G49450,9.519445482,9.160824075,10.23023297
AT2G14760,4.759383869,4.359322256,3.47981131
AT4G26440,3.326395635,0.990677744,1.869936462
AT5G60470,6.169969193,6.149460886,5.449728517
AT5G37260,7.499815161,7.381671255,9.549741995
AT2G42830,6.149768951,5.999799757,5.739664979
AT2G46130,3.101940812,4.358436568,2.329973044
AT1G26260,6.619938387,6.579229836,5.579797832
AT5G64530,6.12924524,5.63966883,5.209734294
AT5G04640,2.019306853,1.569499394,0.920450546
AT2G22200,6.460231049,6.608852456,5.11990373
AT4G00050,11.0590758,10.45924524,9.479880625
AT2G21900,5.94661128,3.751471012,5.659863296
AT4G08150,4.920400485,5.178436568,3.150390858
AT1G72360,7.099845967,6.998467375,5.010200243
AT4G38960,8.890215646,9.029422377,8.279734294
AT4G28110,6.360154033,6.460123226,6.619603366
AT1G21970,5.628813948,4.86,4.859705412
AT5G40430,4.077181201,2.250531413,2.94025993
AT4G22680,3.889460886,3.540161734,3.750361977
AT4G31680,2.697797332,1.26995379,1.210356201
AT1G24260,5.940431292,6.220508308,6.880232974
AT3G22780,9.279599515,9.019507095,8.379763175
AT4G26170,4.289368466,3.880415888,4.419605291
AT5G40360,2.962664766,4.689853669,4.500119375
AT1G14580,8.139753548,7.979406974,7.209782429
AT1G66350,7.799707338,7.608675319,5.890086643
AT3G12820,4.751062826,5.43835185,3.300119375
AT2G16720,5.631863796,6.840824075,7.909757398
AT5G43840,2.017843542,0.620138629,0.800335021
AT4G10240,2.552079442,3.899930685,3.810192541
AT3G23230,3.702710976,5.460277259,5.819847893
AT3G15030,8.28009242,8.338582899,6.50009627
AT5G15800,6.668074591,5.419915282,5.310358126
AT5G44210,3.460215646,3.599514797,2.970410112
AT5G49240,4.297304428,2.550123226,2.709911431
AT3G53820,2.642094845,3.999869072,3.830200243
AT2G20880,4.942187264,6.359414676,5.599734294
AT1G68880,4.438906368,3.728875561,2.270180988
AT1G21910,8.7976433,7.271263068,8.910088569
AT2G40210,2.162064038,3.499807459,3.250215646
AT2G36890,3.792064038,5.128837053,3.620338872
AT5G61600,6.350523711,6.690716252,7.620136704
