,exp1,exp2,exp3,exp4,exp5
AT2G20880,9.949549454,7.60985752,5.759999037,5.729984597,5.250021661
AT5G62165,2.010050061,2.269955331,1.690062576,3.640053911,5.319998556
AT1G74430,2.689805534,1.679927605,0.740009306,1.030129644,5.06995355
AT3G57670,1.920533338,4.689879854,3.130036262,4.25988608,0.71001781
AT3G25710,4.220030807,4.379972274,4.019932611,1.919986522,1.49998917
AT5G62110,1.160338872,2.920053911,3.619947693,1.989914319,-0.679949217
AT3G61950,0.200691222,3.789956101,3.220032732,4.23998941,3.909968471
AT2G35940,6.109917207,5.679838266,3.58005712,5.359899879,2.240065705
AT3G50870,2.339690009,0.730263396,4.149999037,4.119911431,1.36004645
AT5G15480,5.639793981,4.569823633,2.280005455,2.450002246,2.519998556
AT4G21050,0.410098196,0.920079327,1.949958283,0.650107502,3.999911913
AT4G26150,0.600631534,3.879760479,0.770022142,1.460066427,3.529970878
AT4G17785,5.30974007,3.959908351,2.770065464,4.809913678,2.120000963
AT3G48920,8.699915282,8.259919133,7.210002567,7.289927476,5.030024068
AT2G22760,6.430573772,9.409982286,9.179991015,8.900042038,10.20999543
AT1G75430,2.540075091,2.930155573,4.95,4.949917207,2.370070037
AT3G23240,5.100221422,6.250010012,6.380041396,7.670018291,8.240009146
AT2G01430,6.159869072,5.479911431,4.329937103,2.370051344,3.969992298
AT4G10240,4.479844042,3.669759709,0.550080225,3.049974649,2.260016366
AT1G02340,8.329745846,7.010016173,7.219982671,6.679970798,5.769967509
AT2G23760,2.650396634,4.709870613,3.030040434,4.289892819,0.950055596
AT5G27580,2.750048135,3.000103202,4.339890252,0.919999037,0.890032491
AT3G12910,4.439695785,2.860026186,3.199999679,3.190059046,5.0300284
AT4G29100,5.389807459,4.389874463,2.759971119,1.860080225,4.359965824
AT5G60140,0.690454396,3.049963802,2.580023105,3.300000321,3.310032732
AT3G27810,2.219761249,0.98028265,4.649966947,3.620004172,3.749990132
AT1G68520,4.579609142,2.549964572,2.090048777,3.610011232,3.960039712
AT1G33070,0.65009627,1.149969193,0.75010333,3.969895386,0.710029122
AT5G40360,4.489586037,2.339977665,2.049999037,2.019979141,1.370068352
AT2G13150,0.720465949,3.139785895,0.360051986,1.980028239,2.859938146
AT3G46130,1.200009627,1.250020794,1.519956999,0.180099479,3.280002647
AT3G54340,2.379897953,1.850231049,4.849930043,2.670061292,4.579988207
AT1G59530,2.500026956,2.639738144,-0.759907901,2.10999647,1.999984837
AT2G42380,3.969768951,2.770200243,5.369895386,2.110059367,3.959958844
AT5G65100,8.199587963,6.059977665,5.769987164,5.369983955,4.869998797
AT1G31630,1.980487128,4.509808229,2.019997754,1.949992298,1.709977136
AT2G42410,0.799988448,0.740148642,2.67002503,3.449901483,0.380019495
AT5G43410,1.030458247,3.40995225,2.789952827,1.320092099,4.189947533
AT5G25220,6.369896028,5.829934536,4.980003851,5.099944163,3.360002647
AT1G73410,0.380279184,1.830170976,4.049956678,2.699964059,1.580011793
AT1G62700,4.609439706,1.700025415,2.030043322,3.379937745,1.440044044
AT3G23250,4.00040241,6.090006931,6.179978821,5.520047173,6.990011793
AT5G11050,5.949847893,5.15999923,5.149925872,2.840072524,5.099957641
