"GeneID","X60mins","X240mins","X480mins","X720mins","X1440mins","X2160mins","X3600mins"
"1","AT1G01010",7.666,4.888,6.107,5.967,5.581,7.054,8.057
"2","AT1G01020",10.332,10.03,10.477,7.768,6.573,6.691,7.79
"3","AT1G03987",0.596,0.483,0.334,0.632,0.338,0.346,1.018
"4","AT1G01030",2.864,2.753,2.367,2.204,2.217,1.811,2.351
"5","AT1G01040",10.485,10.982,10.283,10.085,13.232,14.168,16.188
"6","AT1G03993",0,0,0,0,0,0,0
"7","AT1G01050",64.73,64.481,70.121,66.352,57.633,54.221,43.974
"8","AT1G03997",0,0,0,0,0,0,0
"9","AT1G01060",103.107,17.574,34.922,37.196,17.024,10.361,9.151
"10","AT1G01070",3.237,2.351,2.641,3.115,2.54,3.304,3.138
"11","AT1G04003",0,0.11,0,0,0,0,0
"12","AT1G01080",52.035,45.163,39.466,33.308,19.953,14.392,10.459
"13","AT1G01090",106.716,129.113,139.499,144.451,143.231,139.397,143.135
"14","AT1G01100",141.046,110.566,105.608,111.514,83.67,69.195,68.799
"15","AT1G01110",2.636,3.521,3.617,3.52,4.034,3.351,2.944
"16","AT1G01120",250.175,147.75,152.595,154.064,143.236,138.366,130.384
"17","AT1G01130",7.149,4.445,4.758,3.902,4.101,3.604,3.913
"18","AT1G01140",91.403,74.596,73.28,64.782,62.013,43.451,32.696
"19","AT1G01150",0.074,0.027,0.059,0.05,0.014,0.014,0.016
"20","AT1G01160",13.196,15.265,15.926,20.006,33.708,34.941,38.672
"21","AT1G04007",1.571,1.495,1.155,1.054,1.377,1.345,1.125
"22","AT1G01170",49.338,50.886,59.233,63.561,77.325,70.21,55.585
"23","AT1G04013",0.828,0.355,0.85,0.092,0,0.582,0
"24","AT1G01180",9.302,11.241,14.084,15.741,18.195,21.521,25.434
"25","AT1G01190",0.595,0.721,0.729,0.698,1.442,1.429,1.306
"26","AT1G01200",8.745,6.992,7.852,5.862,3.879,3.628,2.028
"27","AT1G01210",5.79,4.921,4.502,4.912,4.998,5.305,6.292
"28","AT1G04017",0,0,0,0,0,0,0
"29","AT1G01220",7.688,7.511,6.761,6.283,5.004,4.721,4.711
"30","AT1G04023",0,0,0,0,0,0,0
"31","AT1G01225",3.553,4.261,3.561,2.923,1.537,1.228,0.669
"32","AT1G01230",38.471,47.664,46.309,46.96,38.622,36.531,31.399
"33","AT1G01240",11.942,15.771,16.122,15.916,16.697,16.837,19.471
"34","AT1G01250",0.185,0.329,0.316,0.362,0.32,0.403,0.188
"35","AT1G01260",8.28,9.243,9.639,9.976,10.192,10.896,9.852
"36","AT1G01270",0,0,0,0,0,0,0
"37","AT1G01280",0,0,0,0,0,0,0
"38","AT1G01290",5.591,6.028,6.053,5.878,6.396,6.461,7.381
"39","AT1G01300",55.38,61.594,60.227,61.982,66.023,59.153,51.328
"40","AT1G01305",0,0,0,0,0,0,0
