GeneID,60mins,180mins,360mins,720mins,1440mins
AT5G58420,57.11,65.461,59.471,98.803,175.449
AT5G58430,44.014,17.195,19.668,24.675,17.506
AT5G58440,14.253,12.868,11.744,13.881,16.557
AT5G58450,7.274,6.982,7.047,8.268,10.223
AT5G58460,0,0,0,0,0
AT5G58470,15.919,22.861,28.39,46.65,47.814
AT5G58480,4.737,2.945,1.606,1.678,2.467
AT5G58490,36.187,31.992,30.511,31.893,38.69
AT5G58495,0,0,0,0,0
AT5G58500,0.24,0.204,0.016,0.063,0.03
AT5G58510,5.768,5.31,5.351,5.063,6.64
AT5G58520,4.133,2.911,3.23,3.083,3.228
AT5G58530,3.069,3.269,1.746,2.863,3.399
AT5G08835,0,0,0,0,0
AT5G58540,7.121,1.954,0.95,0.938,1.55
AT5G58550,9.801,3.806,1.787,2.505,2.93
AT5G58560,19.488,17.339,16.133,14.482,18.09
AT5G58570,2.57,1.324,1.517,6.184,8.847
AT5G08840,0,0.185,0.105,0.158,0.196
AT5G58575,3.664,4.025,4.15,5.214,5.486
AT5G58580,3.372,2.133,1.663,2.424,2.886
AT5G08845,0,0,0,0.036,0
AT5G58590,27.767,20.331,12.819,10.204,19.956
AT5G58595,0.174,0,0,0,0.234
AT5G08850,0,0,0.211,0,0
AT5G08855,0.056,0.114,0.24,0.097,0.143
AT5G08860,0,0,0,0,0
AT5G08865,0,0,0,0,0
AT5G58600,1.046,13.837,20.904,14.653,13.38
AT5G58610,0.063,0.067,0.091,0.108,0.084
AT5G58620,14.407,9.652,19.506,44.356,13.932
AT5G08870,0,0,0,0,0
AT5G58630,0.178,0.207,0.14,0.118,0.098
AT5G58640,11.822,12.83,12.508,16.186,18.682
AT5G08875,0.288,0.088,0.28,0.26,0.267
AT5G58650,41.823,63.611,49.983,29.689,20.779
AT5G58660,0.531,0.496,1.036,1.574,1.264
AT5G58670,3.474,21.137,49.688,40.302,15.756
AT5G58680,0.73,1.298,2.733,1.711,1.486
AT5G58690,2.218,2.053,4.207,4.957,3.843
AT5G58700,0.8,3.594,15.643,28.465,18.567
AT5G58710,43.886,48.903,41.709,59.904,82.789
AT5G58720,25.874,28.819,28.095,30.855,28.061
AT5G58730,6.285,6.149,5.602,5.731,7.299
AT5G58740,40.13,45.221,43.179,38.062,40.258
AT5G58750,0,0,0,0,0
AT5G58760,8.084,6.38,4.718,4.88,6.299
AT5G58770,129.424,66.945,31.311,11.306,13.263
AT5G58780,0.115,0.036,0.038,0,0
AT5G58782,0,0,0,0,0
AT5G58784,0,0,0,0,0.008
AT5G58787,3.353,2.324,3.917,4.543,4.588
AT5G58790,1.277,1.085,0.8,0.939,0.933
AT5G58800,30.857,25.304,24.849,23.366,24.136
AT5G58810,0,0,0,0,0
AT5G58820,0,0,0,0,0.004
AT5G58830,0,0,0,0,0
AT5G58840,0.426,0.468,0.163,0.308,0.302
AT5G58850,0,0,0,0,0.007
AT5G58860,0.008,0.01,0.01,0,0
AT5G58870,89.043,71.95,58.966,50.947,65.971
AT5G58880,0.028,0.01,0.006,0.004,0
AT5G58890,0,0,0,0,0
AT5G58900,8.878,43.101,36.41,13.303,12.828
AT5G58910,0,0,0,0,0
AT5G58920,11.965,13.009,12.527,16.79,26.7
AT5G58930,11.91,7.326,5.607,4.131,5.866
AT5G58940,1.321,1.273,1.144,2.67,2.458
AT5G58950,57.735,63.817,71.136,74.172,92.052
AT5G58960,7.67,4.819,3.851,4.388,6.96
AT5G08880,0,0,0,0,0
AT5G58970,5.118,4.765,3.968,3.357,6.752
AT5G08885,0,0,0,0,0
AT5G58980,9.496,8.093,6.601,5.229,4.982
AT5G58990,8.688,9.128,7.535,6.623,8.593
AT5G59000,2.115,4.353,4.849,3.565,6.915
AT5G59010,0.994,1.305,1.422,2.133,4.594
AT5G08890,0,0,0,0,0
AT5G59020,1.357,1.408,1.386,1.262,1.485
AT5G59030,37.752,69.6,56.761,34.338,30.811
AT5G59040,0,0,0.029,0,0
AT5G59050,6.079,5.872,8.351,4.862,2.644
AT5G59055,0,0,0,0,0
AT5G59060,0.03,0,0,0,0
AT5G59080,4.375,7.054,18.648,7.356,4.938
AT5G59070,0,0,0,0,0
AT5G59090,0,0.025,0.027,0.032,0
AT5G59100,0,0,0,0,0
AT5G59105,0,0,0,0,0
AT5G59110,0,0,0,0,0
AT5G59120,0,0,0,0,0
AT5G59130,10.922,15.755,21.034,17.462,31.196
AT5G59140,23.946,24.645,23.016,25.431,31.582
AT5G59150,8.335,13.344,6.707,6.147,9.602
AT5G59160,21.899,22.828,22.95,25.855,24.448
AT5G59170,0.025,0.031,0.228,0.28,0.148
AT5G59180,9.726,14.704,20.711,32.913,27.614
AT5G59190,0.074,0.008,0.03,0.024,0.103
AT5G59200,0.429,0.365,0.285,0.513,1.273
AT5G59210,10.349,9.541,9.251,10.631,13.286
AT5G59220,9.899,0.766,0.256,17.254,22.048
AT5G08895,0,0,0,0.087,0.152
AT5G59230,0.04,0.054,0.091,0.024,0.189
AT5G59240,0.881,1.349,1.148,2.248,3.242
AT5G59250,44.347,41.19,45.526,47.549,42.883
AT5G59260,0.025,0.025,0.008,0.014,0
AT5G08900,0,0,0,0,0
AT5G08905,0,0,0,0,0
AT5G59270,0,0,0,0,0
AT5G59280,0,0,0,0,0
AT5G59290,25.213,23.368,18.568,15.489,16.047
AT5G59300,28.054,33.934,45.207,54.957,52.821
AT5G59305,0,0,0,0,0.016
AT5G59310,0.082,0.261,0.292,0,2.131
AT5G59320,3.803,2.227,4.448,0.742,65.651
AT5G59330,0,0,0,0,0
AT5G59340,1.01,0.549,0.192,1.502,1.48
AT5G08910,0,0,0,0,0
AT5G59350,12.63,15.067,12.131,15.87,19.256
AT5G08915,0,0,0,0,0
AT5G59360,1.026,1.041,0.518,0.592,0.66
AT5G59370,0.078,0.061,0.01,0.01,0
AT5G59380,3.349,4.2,3.223,3.862,4.183
AT5G59385,0.203,0,0,0,0
AT5G59390,0.024,0.04,0.026,0.013,0.02
AT5G59395,0,0,0,0,0
