GeneID,60mins,180mins,360mins,720mins,1440mins
AT1G01010,1.827,1.649,1.5,2.739,5.675
AT1G01020,6.27,5.611,5.172,5.747,7.511
AT1G03987,0.312,0,0.28,0.118,0.098
AT1G01030,2.462,1.15,5.768,4.825,2.212
AT1G01040,9.085,10.256,11.511,12.622,14.587
AT1G03993,0,0,0,0,0
AT1G01050,62.984,60.709,52.553,55.318,94.802
AT1G03997,0.052,0,0.15,0,0.047
AT1G01060,162.008,115.529,75.462,30.788,67.103
AT1G01070,2.867,1.363,0.928,0.351,1.508
AT1G04003,0,0,0,0,0
AT1G01080,48.38,47.093,36.16,37.188,25.557
AT1G01090,92.602,92.272,79.449,88.775,97.842
AT1G01100,108.444,109.219,76.522,93.874,141.581
AT1G01110,0.89,0.406,0.222,0.065,0.048
AT1G01120,64.356,45.22,3.58,19.404,18.867
AT1G01130,4.268,4.759,1.198,0.592,1.011
AT1G01140,113.616,185.271,150.221,146.344,68.551
AT1G01150,0.008,0.048,0,0.029,0.008
AT1G01160,10.549,6.615,5.213,5.899,8.395
AT1G04007,1.611,0.603,0.592,1.345,1.745
AT1G01170,45.388,45.562,34.194,27.22,24.865
AT1G04013,4.961,4.174,2.053,3.276,3.126
AT1G01180,4.026,0.728,0.504,2.096,1.582
AT1G01190,2.341,2.971,0.697,1.066,0.444
AT1G01200,1.46,1.646,0.73,0.572,0.366
AT1G01210,6.617,8.529,5.135,7.007,11.782
AT1G04017,0,0,0,0,0
AT1G01220,5.976,5.415,5.671,8.762,11.702
AT1G04023,0,0,0,0,0
AT1G01225,1.657,1.402,1.27,1.09,0.9
AT1G01230,14.361,18.812,28.018,29.928,32.131
AT1G01240,5.035,2.744,6.165,7.476,12.341
AT1G01250,11.763,4.61,3.994,8.351,16.392
AT1G01260,3.822,5.354,4.798,5.197,5.13
AT1G01270,0,0,0,0,0
AT1G01280,0,0,0,0,0.006
AT1G01290,5.691,4.762,3.568,2.793,4.328
AT1G01300,18.032,66.84,101.014,37.925,15.134
AT1G01305,0,0,0,0,0
AT1G01310,0.014,0,0,0.016,0.027
AT1G01320,123.008,90.584,39.698,47.991,83.62
AT1G01335,0,0,0,0,0
AT1G01340,1.379,1.692,1.208,1.306,1.06
AT1G01350,8.966,8.63,8.46,9.95,10.181
AT1G01355,0.14,0.168,0.094,0.234,0.23
AT1G01360,10.821,19.788,22.27,16.086,10.332
AT1G01370,1.03,0.897,0.664,0.992,0.92
AT1G01380,0.869,0.656,0.59,0.814,1.039
AT1G01390,15.733,16.309,16.035,18.111,13.96
AT1G01400,0,0,0,0.039,0
AT1G01410,0,0,0.034,0,0
AT1G01420,7.801,19.443,19.851,27.37,12.168
AT1G01430,17.802,10.121,10.256,9.133,8.758
AT1G01440,5.662,6.377,6.766,7.468,6.75
AT1G01448,1.345,0.822,0.844,0.836,1.083
AT1G01450,0,0.012,0.013,0.012,0
AT1G01453,0,0.025,0,0,0
AT1G01460,0,0,0.033,0.024,0.018
AT1G01470,84.841,335.475,1243.265,1612.822,1123.891
AT1G01480,0.06,0.054,0.086,0.282,0.252
AT1G01490,26.111,19.432,8.339,13.335,12.89
AT1G01500,7.138,32.459,38.633,34.199,27.293
AT1G01510,10.507,11.89,12.223,11.852,16.162
AT1G01520,24.51,3.622,0.74,9.498,12.25
AT1G01530,0,0,0,0.022,0
AT1G01540,52.721,70,48.142,58.319,42.201
AT1G01550,76.273,82.856,112.202,103.716,82.869
AT1G01560,6.918,3.974,7.316,2.718,1.44
AT1G01570,0.857,0.493,0.287,0.318,0.879
AT1G01580,2.402,2.823,4.916,8.053,9.325
AT1G01590,0.107,0.014,0.04,0.024,0.039
AT1G01600,0.196,0.354,0.167,0.46,0.452
AT1G01610,16.578,19.59,15.927,29.474,26.649
AT1G01620,168.891,130.632,51.986,32.989,53.374
AT1G01630,23.393,22.551,19.159,14.441,15.172
AT1G01640,0.797,0.675,1.103,1.686,1.371
AT1G01650,13.463,17.735,27.989,39.2,29.069
AT1G01660,0.614,0.216,0.349,0.52,0.583
AT1G01670,1.151,0.495,0.361,1.054,1.013
AT1G01680,0.284,0.33,0.072,0.144,0.206
AT1G01690,0.748,0.712,0.66,0.432,0.525
AT1G01695,0.068,0.022,0.038,0,0.042
AT1G04033,0.04,0,0.109,0.041,0
AT1G04037,1.187,1.877,1.944,2.132,2.07
AT1G01700,0.794,0.802,0.758,0.773,0.899
AT1G01710,22.653,20.898,18.022,14.189,18.114
AT1G01715,1.415,0.688,0.668,1.192,3.817
AT1G04043,0,0,0,0,0
AT1G01720,20.902,7.078,11.252,43.455,36.788
AT1G01725,12.803,11.339,10.457,9.767,12.363
AT1G04047,1.229,0.968,0.783,1.283,1.522
AT1G01730,5.772,5.406,9.121,13.126,19.421
AT1G01740,2.715,2.059,2.959,3.297,2.83
AT1G01750,0.255,0.126,0.136,0.09,0.393
AT1G04053,0.096,0.034,0,0.166,0.074
AT1G01760,1.648,1.64,1.825,1.552,2.167
AT1G04057,0,0,0,0,0
AT1G01770,6.018,4.338,2.93,6.166,5.787
AT1G01780,4.119,3.588,2.605,2.276,2.452
AT1G01790,94.742,86.257,90.121,87.626,76.575
AT1G04063,0,0,0.039,0,0
AT1G01800,53.206,46.575,41.668,29.568,27.447
AT1G01810,0.342,0.428,0.452,0.516,0.716
AT1G01820,15.165,14.939,21.846,29.495,32.043
AT1G01830,9.366,4.87,5.259,9.152,13.712
AT1G04067,0,0,0,0,0
AT1G01840,0.102,0.106,0,0.021,0.044
AT1G01860,5.404,5.186,3.979,3.802,4.51
AT1G04073,0.486,0.321,0.079,0.22,0.708
AT1G01870,0.2,0,0,0,0
AT1G01880,0.542,0.369,0.402,0.657,0.817
AT1G01890,0,0,0,0,0
AT1G01900,2.769,2.551,2.189,2.027,2.468
AT1G04077,0,0,0,0,0
AT1G01910,15.677,21.083,27.273,31.804,24.447
AT1G04083,0.352,0.607,1.038,0.76,0.467
AT1G01920,3.553,2.392,1.699,1.752,3.499
AT1G01930,5.316,3.281,3.569,4.622,4.202
AT1G01940,5.444,6.002,11.098,19.032,18.765
AT1G01950,10.843,12.654,6.56,3.866,4.873
AT1G01960,10.389,8.541,10.8,13.262,13.207
AT1G01970,27.375,24.825,22.953,27.053,29.334
AT1G01980,0,0,0,0,0
AT1G01990,9.472,7.452,8.567,8.969,11.155
AT1G02000,6.841,4.47,4.663,5.859,4.886
AT1G02010,6.865,5.473,4.077,4.563,5.639
AT1G02020,7.005,5.094,5.753,6.38,7.171
AT1G02030,0.072,0.097,0.056,0.218,0.309
AT1G02040,0.012,0.015,0.016,0.069,0.078
AT1G02050,2.361,1.292,0.945,1.069,2.428
AT1G02060,1.928,1.165,1.088,1.674,2.455
AT1G02065,0.006,0,0,0,0
AT1G02067,0,0,0,0,0
AT1G02070,0.036,0.117,0,0.084,0.017
AT1G02080,12.448,10.598,12.392,14.12,16.761
AT1G02090,13.925,15.207,17.953,19.904,24.253
AT1G02100,17.715,18.955,19.816,18.231,18.549
AT1G02110,10.312,5.909,3.494,3.599,3.832
AT1G02120,29.721,29.993,27.322,25.282,31.489
AT1G02130,27.035,25.264,22.492,23.1,31.28
AT1G04087,0,0,0,0,0
AT1G02136,0,0,0,0,0
AT1G02140,81.738,95.603,82.299,100.301,113.18
AT1G02145,8.49,7.696,6.076,5.115,7.267
AT1G02150,48.179,43.078,36.912,47.785,47.026
AT1G02160,13.743,12.598,14.197,13.829,14.859
AT1G02170,17.02,17.34,17.155,18.386,17.806
AT1G02180,3.069,1.754,0.566,0.449,1.075
AT1G02190,0.052,0.032,0.02,0.007,0.021
AT1G02205,38.386,30.053,18.788,14.321,68.314
AT1G04093,0,0.11,0.085,0.034,0.02
AT1G02210,0,0,0,0,0
AT1G02220,1.385,1.397,1.102,0.53,0.748
AT1G02228,0,0,0,0,0
AT1G02230,0.099,0.038,0.044,0.012,0.016
AT1G02250,0,0,0.031,0.012,0.056
AT1G02260,2.046,2.66,3.793,4.043,6.953
AT1G02270,10.682,29.818,88.695,82.481,33.363
AT1G02280,35.18,35.837,29.476,45.63,51.572
AT1G02290,3.459,2.08,2.357,1.913,3.083
AT1G02300,3.392,7.853,24.165,9.01,8.901
AT1G02305,39.645,34.793,36.653,41.535,47.206
AT1G04097,0.134,0.054,0.239,0.1,0.145
AT1G02310,0.046,0.58,4.091,3.228,2.046
AT1G04103,0,0,0.144,0.126,0.03
AT1G02320,0,0,0,0,0
AT1G02330,13,17.136,23.982,33.242,27.447
AT1G02335,9.621,7.986,7.229,7.051,5.945
AT1G02340,0.801,0.624,0.29,0.214,0.18
