GeneID,60mins,240mins,480mins,720mins,1440mins,2160mins,3600mins
AT1G01010,7.218,3.282,3.201,3.394,3.594,4.079,4.204
AT1G01020,8.985,8.688,8.523,7.999,6.701,6.069,6.332
AT1G03987,0.176,0.083,0.158,0.074,0.164,0.514,0.545
AT1G01030,2.548,1.212,1.176,1.368,1.712,0.968,1.123
AT1G01040,8.71,8.874,8.934,11.048,13.672,14.149,14.652
AT1G03993,0,0,0,0,0,0,0
AT1G01050,60.419,56.666,64.176,58.016,51.718,51.095,45.45
AT1G03997,0,0,0,0.078,0,0,0
AT1G01060,96.154,15.255,47.821,57.807,15.849,20.913,13.034
AT1G01070,2.628,2.29,1.845,2.505,3.303,3.235,3.257
AT1G04003,0,0,0,0,0.104,0.118,0.129
AT1G01080,52.963,36.424,35.492,24.172,17.078,11.549,8.272
AT1G01090,102.572,114.357,118.867,115.811,108.156,103.528,108.593
AT1G01100,142.586,89.478,88.07,85.59,60.97,62.972,56.664
AT1G01110,2.657,2.393,2.476,2.681,2.82,1.966,1.933
AT1G01120,262.32,282.627,202.631,203.952,171.656,180.674,163.349
AT1G01130,7.268,6.38,5.338,4.647,3.934,2.945,4.045
AT1G01140,79.157,67.413,66.739,73.669,65.818,52.854,44.279
AT1G01150,0.088,0.036,0.014,0.028,0.014,0,0
AT1G01160,13.485,15.752,16.648,21.561,35.206,40.475,44.681
AT1G04007,1.296,1.13,1.116,1.149,1.161,1.502,1.784
AT1G01170,45.245,48.151,55.68,62.002,62.437,53.802,47.227
AT1G04013,0.1,0.722,0.951,0.26,0.369,0,0
AT1G01180,7.264,12.114,11.725,13.888,16.338,18.732,16.593
AT1G01190,0.422,0.222,0.283,0.27,0.626,0.742,1.182
AT1G01200,9.133,6.327,5.832,5.793,2.633,2.056,1.545
AT1G01210,5.171,3.75,4.103,4.542,4.705,5.457,6.011
AT1G04017,0,0,0,0,0,0,0
AT1G01220,7.854,7.109,6.529,5.347,4.947,4.693,4.665
AT1G04023,0,0,0,0,0,0,0
AT1G01225,3.935,5.008,3.238,3.21,1.761,1.453,1.378
AT1G01230,41.061,54.526,52.786,51.796,42.446,43.917,40.228
AT1G01240,21.311,32.394,31.799,33.863,30.317,32.262,31.154
AT1G01250,0.842,1.752,2.537,1.97,2.12,1.254,1.05
AT1G01260,7.848,7.415,8.505,10.153,10.477,10.379,10.264
AT1G01270,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0
AT1G01290,5.588,5.938,5.571,6.367,7.837,8.109,8.027
AT1G01300,49.681,52.461,53.609,57.819,69.504,61.767,56.655
AT1G01305,0,0,0,0.033,0,0,0
AT1G01310,0.1,0,0.088,0.153,0.252,0.19,0.142
AT1G01320,110.931,52.809,48.691,50.474,64.401,63.563,71.216
AT1G01335,0,0,0,0,0,0,0
AT1G01340,2.416,1.767,1.804,1.501,1.615,1.823,2.76
AT1G01350,13.812,12.64,12.685,14.081,16.643,14.655,14.958
AT1G01355,0.277,0.091,0.074,0.217,0.308,0.107,0.496
AT1G01360,20.986,15.194,12.434,11.438,9.309,9.07,10.581
AT1G01370,2.413,1.475,1.44,1.431,0.961,0.688,0.404
AT1G01380,3.859,2.859,1.966,2.301,2.128,1.422,0.595
AT1G01390,11.957,17.274,17.857,18.282,16.425,11.883,8.745
AT1G01400,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0
AT1G01420,1.495,1.486,1.628,1.728,1.982,1.808,1.734
AT1G01430,56.221,48.96,51.751,47.461,43.788,44.995,44.346
AT1G01440,11.732,10.802,10.604,11.963,14.241,15.263,17.108
AT1G01448,4.924,5.861,6.415,7.008,9.319,9.247,10.163
AT1G01450,0,0,0,0,0,0,0
AT1G01453,0.064,0.026,0.072,0.123,0.059,0.06,0.1
AT1G01460,0,0,0,0,0,0,0
AT1G01470,110.931,274.257,201.666,202.096,178.403,165.582,152.285
AT1G01480,3.021,5.792,4.3,4.437,4.875,6.031,8.008
AT1G01490,10.907,16.41,17.316,23.261,29.67,34.713,37.558
AT1G01500,2.069,5.869,5.792,5.775,8.034,8.871,10.7
AT1G01510,15.307,16.578,17.593,16.287,15.913,14.963,13.951
AT1G01520,10.392,4.874,5.978,6.815,6.716,6.274,5.857
AT1G01530,0,0,0,0.03,0,0,0
AT1G01540,54.26,47.14,50.305,49.21,52.478,50.854,50.057
AT1G01550,82.093,104.508,105.836,111.195,115.189,127.677,137.791
AT1G01560,0.392,0.258,0.244,0.19,0.182,0.151,0.274
AT1G01570,1.621,2.397,1.69,1.576,1.53,1.099,1.004
AT1G01580,0.91,0.613,0.544,0.61,0.842,0.522,0.504
AT1G01590,0.073,0.03,0.016,0,0.016,0.028,0.02
AT1G01600,15.926,11.028,9.739,8.812,4.865,5.927,4.457
AT1G01610,54.881,67.352,51.2,47.916,51.325,57.193,58.207
AT1G01620,1304.097,1643.327,1502.918,1526.417,1363.552,1296.427,990.312
AT1G01630,34.95,32.559,26.083,24.383,20.549,19.555,19.48
AT1G01640,4.506,4.316,6.003,6.691,12.012,14.532,16.09
AT1G01650,19.791,33.721,28.937,28.835,27.57,31.225,35.978
AT1G01660,0.221,0.073,0.096,0.145,0.088,0.115,0.098
AT1G01670,0.141,0.163,0.191,0.112,0.106,0.21,0.178
AT1G01680,1.941,1.405,2.159,1.483,0.225,0.192,0.848
AT1G01690,2.577,3.204,1.784,1.683,1.39,1.424,1.081
AT1G01695,0.071,0.413,0.13,0.228,0.054,0.072,0.049
AT1G04033,0.206,0.062,0.06,0.122,0.184,0.204,0.297
AT1G04037,3.396,3.095,2.701,2.482,2.09,2.263,1.637
AT1G01700,1.436,1.626,1.481,2.204,2.405,2.254,2.327
AT1G01710,25.331,27.18,27.755,30.264,32.959,32.547,32.654
AT1G01715,3.836,2.155,2.095,2.34,2.092,2.609,2.655
AT1G04043,0,0,0,0,0,0,0
AT1G01720,70.106,61.171,64.231,74.746,79.308,85.53,97.692
AT1G01725,7.387,8.322,9.582,10.841,10.369,11.954,13.38
AT1G04047,0.474,0.876,0.954,0.929,1.388,1.159,1.204
AT1G01730,10.771,11.979,14.244,15.927,18.827,22.261,26.888
AT1G01740,2.09,1.629,1.282,1.406,1.373,1.347,1.548
AT1G01750,0.92,0.588,0.616,0.542,0.32,0.379,0.434
AT1G04053,0,0,0,0,0,0,0
AT1G01760,2.582,2.789,2.462,2.046,2.822,2.81,2.443
AT1G04057,0,0,0,0,0,0,0
AT1G01770,11.564,17.189,22.642,25.457,34.736,36.201,40.75
AT1G01780,32.406,34.228,41.588,47.525,76.599,87.224,82.951
AT1G01790,36.033,31.651,29.009,20.07,10.96,8.64,8.498
AT1G04063,0,0,0,0,0,0,0
AT1G01800,42.979,39.473,40.242,40.032,32.394,31.831,32.785
AT1G01810,0.474,0.649,0.857,0.58,0.44,0.688,0.879
AT1G01820,37.677,36.252,43.243,44.106,53.892,57.645,62.939
AT1G01830,6.234,10.958,12.456,14.018,13.744,14.586,13.353
AT1G04067,0,0,0,0,0,0,0
AT1G01840,0.061,0,0.078,0,0,0.026,0
AT1G01860,6.731,5.649,5.705,4.703,4.626,4.481,3.793
AT1G04073,0.195,0.096,0.277,0.174,0.197,0,0.091
AT1G01870,0,0,0,0,0,0,0
AT1G01880,0.955,0.846,0.638,0.639,0.66,0.605,0.662
AT1G01890,0,0,0,0,0,0,0
AT1G01900,2.875,4.787,4.277,4.172,3.647,2.971,2.023
AT1G04077,0,0,0,0,0,0,0
AT1G01910,22.347,20.162,18.492,18.129,15.096,14.02,13.547
AT1G04083,0.082,0.234,0.235,0.243,0.334,0.08,0
AT1G01920,6.214,4.011,4.086,4.186,5.995,6.144,6.504
AT1G01930,6.803,7.785,7.962,8.298,9.815,10.021,10.038
AT1G01940,9.983,9.557,10.358,10.003,11.079,10.276,9.502
AT1G01950,9.838,8.161,7.511,8.217,8.132,8.005,7.444
AT1G01960,27.443,28.169,26.949,25.817,25.295,25.874,28.909
AT1G01970,25.122,14.901,15.358,12.657,10.875,8.64,8.925
AT1G01980,0.012,0,0,0.021,0.012,0,0
AT1G01990,8.96,8.71,10.524,10.814,15.899,17.576,21.311
AT1G02000,8.542,8.654,7.042,8.357,9.135,9.946,10.189
AT1G02010,7.825,7.814,8.364,9.268,10.127,10.828,8.428
AT1G02020,6.678,6.677,7.171,7.718,11.268,11.775,12.517
AT1G02030,0.53,0.558,0.272,0.294,0.475,0.256,0.326
AT1G02040,0.02,0,0,0,0.02,0,0
AT1G02050,3.304,3.072,3.522,3.755,5.006,5.858,7.14
AT1G02060,2.483,2.552,2.854,2.911,4.363,4.597,5.44
AT1G02065,0.091,0.055,0.03,0.02,0.101,0.042,0.01
AT1G02067,0,0,0,0,0,0,0
AT1G02070,0.06,0.456,0.273,0.613,0.484,0.744,1.012
AT1G02080,34.203,36.24,34.181,37.9,44.73,41.773,44.766
AT1G02090,20.65,15.643,16.382,15.567,15.401,16.066,15.845
AT1G02100,28.174,29.919,37.159,44.811,65.896,73.15,82.616
AT1G02110,11.015,12.385,12.633,13.398,15.909,13.651,13.591
AT1G02120,32.341,31.59,35.462,39.126,44.356,45.921,47.021
AT1G02130,35.657,35.344,39.68,36.127,37.255,40.426,44.836
AT1G04087,0,0,0,0,0,0,0
AT1G02136,0,0,0,0,0,0,0
AT1G02140,89.523,80.959,90.192,94.838,94.424,105.217,107.68
AT1G02145,13.595,12.378,14.072,14.276,13.403,13.839,12.441
AT1G02150,53.392,45.824,47.188,46.696,49.586,43.739,44.988
AT1G02160,17.974,20.082,20.426,19.776,13.857,14.315,14.982
AT1G02170,17.134,23.977,21.632,22.499,30.227,30.628,32.587
AT1G02180,7.406,5.588,5.931,4.861,3.862,3.197,2.724
AT1G02190,0.182,0.113,0.068,0.038,0.092,0.034,0.034
AT1G02205,68.166,131.993,88.931,87.548,103.018,130.254,117.352
AT1G04093,0.1,0,0,0.162,0,0,0
AT1G02210,0,0,0,0,0,0,0
AT1G02220,10.724,2.428,1.354,0.968,1.278,0.665,0.582
AT1G02228,0,0,0,0,0,0,0
AT1G02230,0.29,0.087,0.195,0.178,0.185,0.132,0.193
AT1G02250,0,0.019,0.018,0.017,0.038,0.021,0.036
AT1G02260,7.434,7.645,9.073,9.636,9.034,8.489,6.8
AT1G02270,11.402,13.116,11.082,10.759,11.014,11.467,11.75
AT1G02280,117.098,84.413,86.34,81.507,77.852,65.956,59.282
AT1G02290,7.861,6.405,6.749,6.191,5.817,4.646,5.081
AT1G02300,11.8,15.384,17.337,17.447,20.151,20.304,19.084
AT1G02305,82.428,129.793,156.969,165.585,187.96,208.909,215.99
AT1G04097,0.071,0.06,0.068,0.266,0.136,0.146,0.368
AT1G02310,0.774,4.61,2.258,2.043,1.093,0.866,1.406
AT1G04103,0,0.032,0.049,0.03,0.018,0.018,0
AT1G02320,0,0,0,0,0,0,0
AT1G02330,19.248,16.434,15.933,18.317,21.96,19.439,18.206
AT1G02335,18.721,26.599,32.226,34.596,42.163,45.784,26.889
AT1G02340,46.413,71.221,74.965,85.63,104.528,109.969,110.1
AT1G02350,3.224,2.105,2.341,2.713,2.054,2.026,1.748
AT1G02360,3.224,0.363,0.366,0.341,0.31,0.106,0.945
AT1G02370,1.403,0.612,0.846,1.113,1.24,1.39,1.788
AT1G02380,1.312,1.076,0.702,0.885,0.876,1.344,2.292
AT1G02390,1.872,3.833,3.684,3.236,3.808,5.163,6.279
AT1G02400,18.432,22.614,13.575,16.584,16.416,11.935,9.488
AT1G02405,0.096,0.102,0.2,0.426,0.558,0.596,0.809
AT1G02410,13.742,11.159,12.809,11.797,10.374,8.283,6.95
AT1G02420,0.53,0.467,0.595,0.623,0.724,0.651,0.462
AT1G04117,0,0,0,0,0,0,0
AT1G02430,0.25,0.168,0.177,0.284,0.208,0.437,0.468
AT1G04123,0,0,0,0,0,0,0
AT1G02440,0.079,0.06,0.113,0.113,0.024,0.095,0.174
AT1G02450,0.08,0.16,0.069,0.072,0.144,0.04,0
AT1G02460,1.401,0.536,0.59,0.51,0.55,0.353,0.228
AT1G02470,1.852,2.492,3.535,6.467,14.568,19.585,28.965
AT1G02475,35.544,29.685,28.866,25.316,19.783,16.442,18.244
AT1G02480,0,0,0,0,0,0,0
AT1G02490,0.617,0.064,0.217,0.068,0,0.074,0
AT1G02500,221.396,263.577,275.049,302.653,335.087,354.723,334.057
AT1G02510,0,0,0,0,0,0,0
AT1G02520,1.36,1.544,1.433,1.558,1.674,2.319,2.268
AT1G02530,0.034,0.042,0.03,0.025,0.021,0.012,0.024
AT1G02540,0,0,0.024,0,0,0,0
AT1G02550,0,0,0,0,0,0,0
AT1G02560,182.638,133.856,131.649,98.215,73.953,66.684,75.91
AT1G02570,0.09,0.086,0.043,0.02,0,0.044,0.054
AT1G02575,0.093,0.037,0.02,0.02,0,0.044,0.066
AT1G02580,0.109,0.145,0.134,0.205,0.128,0.136,0.278
AT1G04127,0.104,0.08,0,0.092,0.186,0.193,0.224
AT1G02590,0,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0,0
AT1G02610,3.04,7.795,6.84,8.037,12.771,11.736,13.898
AT1G02620,0.832,1.381,1.089,0.99,1.522,1.127,1.526
AT1G04133,0,0,0,0,0,0,0
AT1G04137,0,0,0,0.039,0,0,0
AT1G02630,0.306,0.168,0.242,0.225,0.137,0.209,0.132
AT1G02640,90.423,78.205,69.308,64.825,52.448,36.352,28.267
AT1G02650,1.176,1.489,1.191,1.006,1.026,0.765,0.834
AT1G02660,34.731,58.043,37.988,43.789,40.34,36.757,40.79
AT1G02670,2.866,4.434,2.614,2.193,1.725,0.979,0.926
AT1G02680,10.63,11.198,12.081,12.303,14.986,14.172,14.66
AT1G02681,0.04,0,0,0.14,0,0,0
AT1G04143,0,0,0,0,0,0.064,0
AT1G02690,7.088,3.874,4.168,3.934,4.114,4.14,3.614
AT1G02700,12.101,20.387,23.163,32.986,36.401,40.425,40.2
AT1G02705,0.229,0.233,0.252,0.446,0.153,0.154,0.112
