GeneID,60mins,240mins,480mins,720mins,1440mins,2160mins,3600mins
AT5G50720,4.832,5.524,6.843,7.602,8.636,10.049,11.341
AT5G50740,3.933,2.034,1.839,1.51,0.76,0.504,0.19
AT5G50750,0.486,0.408,0.393,0.488,0.624,0.493,0.14
AT5G07705,0,0,0,0,0,0,0
AT5G50760,1.978,1.94,2.162,3.127,3.309,4.461,3.799
AT5G50770,0.524,0.493,0.377,0.296,0.61,0.558,0.228
AT5G50780,3.986,4.953,4.178,4.633,6.444,6.588,7.672
AT5G50790,0.019,0.015,0,0,0,0,0.074
AT5G50800,0.037,0.047,0.019,0.036,0.021,0,0.02
AT5G50805,0,0,0,0,0,0,0
AT5G50810,18.099,14.18,14.304,12.473,9.038,7.517,8.943
AT5G50820,1.886,1.012,0.934,1.149,0.981,0.64,0.366
AT5G50830,0.036,0.016,0.034,0.012,0,0.034,0
AT5G50840,8.519,8.345,7.478,6.876,5.493,4.792,4.357
AT5G50850,90.357,92.969,94.761,88.097,79.343,72.995,64.446
AT5G50860,10.192,9.056,8.837,7.962,8.072,6.973,8.159
AT5G50870,35.082,34.522,34.816,33.65,29.569,25.568,22.883
AT5G50890,2.822,2.442,2.221,2.229,1.421,1.265,0.788
AT5G50900,18.459,16.944,19.134,17.59,14.277,17.534,20.959
AT5G50910,0,0,0,0,0,0,0
AT5G50915,11.46,7.953,8.781,9.369,9.29,7.013,3.889
AT5G50920,331.998,369.227,354.5,367.795,491.082,483.672,490.337
AT5G50930,1.717,1.685,1.747,1.733,1.099,0.765,0.489
AT5G50940,0.844,0.891,0.879,0.647,0.926,0.902,0.694
AT5G50950,0.987,1.368,1.35,1.304,1.767,1.391,1.534
AT5G50960,22.017,20.15,18.859,18,16.742,18.552,20.716
AT5G50970,7.826,7.785,7.663,7.111,6.117,5.434,4.931
AT5G50990,1.529,1.124,1.046,0.764,0.609,0.525,0.514
AT5G50995,0,0,0,0,0,0,0
AT5G51000,0,0.018,0.021,0,0,0.022,0
AT5G51010,88.148,74.542,67.351,64.321,42.742,35.163,27.683
