"GeneID","X60mins","X180mins","X360mins","X720mins","X1440mins","X2880mins"
"272","AT1G03140",22.931,27.111,36.329,20.826,17.786,21.184
"273","AT1G03150",9.567,14.976,23.912,11.96,12.211,11.206
"274","AT1G04167",0,0,0.128,0,0,0
"275","AT1G03160",27.05,21.193,26.735,31.438,18.468,19.143
"276","AT1G03165",0.462,0.646,0.525,0.662,0.843,0.479
"277","AT1G04173",0.504,0.182,0.294,0.282,0.471,0.36
"278","AT1G03170",0.221,0.16,0.124,0.166,0.098,0.064
"279","AT1G03180",0.894,0.885,0.867,0.756,0.852,1.099
"280","AT1G03190",3.413,4.434,3.66,4.992,2.987,3.83
"281","AT1G04177",0,0,0,0,0,0
"282","AT1G03200",1.82,1.949,3.212,2.267,2.197,2.437
"283","AT1G03210",5.05,4.865,8.491,24.713,5.813,7.325
"284","AT1G03220",10.756,26.291,10.534,20.897,8.632,5.317
"285","AT1G03230",1.734,3.965,5.434,10.495,2.399,2.19
"286","AT1G03240",0.062,0,0.168,0.108,0,0
"287","AT1G03250",14.364,18.815,18.288,15.116,19.506,14.425
"288","AT1G03260",5.069,4.861,4.745,6.335,4.099,4.312
"289","AT1G03270",0.84,2.32,1.917,1.876,1.83,2.038
"290","AT1G03280",12.354,14.92,15.594,17.348,14.491,15.24
"291","AT1G03290",5.723,6.204,8.733,16.401,7.436,8.895
"292","AT1G03300",0,0,0,0,0,0
"293","AT1G03310",9.808,21.389,32.308,33.041,16.26,19.985
"294","AT1G03320",0.492,0.524,0.92,0.336,0.456,0.26
"295","AT1G03325",0,0,0,0,0,0
"296","AT1G03330",27.107,42.004,36.878,37.314,40.102,30.367
"297","AT1G03340",0.551,1.711,4.894,2.502,1.167,1.424
"298","AT1G03350",25.122,21.709,20.651,24.855,19.886,23.785
"299","AT1G03360",6.809,6.046,3.442,5.592,6.854,5.843
"300","AT1G03365",4.571,5.45,6.207,7.791,6.061,6.31
"301","AT1G03370",9.712,6.425,6.669,16.415,5.797,6.887
"302","AT1G03380",8.907,13.236,15.236,12.309,13.889,18.913
"303","AT1G03390",0,0.027,0.02,0,0.023,0.028
"304","AT1G03395",0,0,0,0,0,0
"305","AT1G03400",17.761,23.727,26.383,45.752,24.165,32.16
"306","AT1G03410",0.454,0.72,1.172,1.523,0.77,0.757
"307","AT1G04183",0,0,0.016,0.046,0.016,0.019
"308","AT1G03420",0,0,0.026,0.027,0.09,0
"309","AT1G03430",6.362,15.372,20.072,18.241,10.285,9.837
"310","AT1G03440",4.777,9.67,8.375,7.906,13.204,13.463
"311","AT1G03445",0.048,0.026,0.02,0.021,0.012,0.162
"312","AT1G03457",1.058,1.13,1.048,1.198,0.918,1.227
"313","AT1G03470",0.806,1.471,2.795,3.748,1.724,1.652
"314","AT1G03475",76.095,66.541,91.459,180.656,77.231,68.511
"315","AT1G03490",0,0,0,0.034,0,0
"316","AT1G03495",4.645,1.655,1.532,1.411,2.996,5.78
"317","AT1G04187",3.84,3.035,2.269,2.416,4.053,3.54
"318","AT1G04193",0.88,0.318,1.024,0,0.272,1.561
"319","AT1G03502",0,0,0,0,0,0
"320","AT1G03506",0,0.854,0.636,1.675,2.211,2.126
"321","AT1G04197",0.702,0.76,2.447,0,0.66,0.752
"322","AT1G03510",0.774,0.574,0.73,1.109,0.762,0.618
"323","AT1G03515",0,0,0,0,0,0
"324","AT1G03520",3.682,5.859,6.337,6.282,6.749,5.142
"325","AT1G03530",3.658,2.948,2.937,5.6,4.287,5.658
"326","AT1G03540",1.077,0.516,0.728,1.224,0.812,1.015
"327","AT1G03550",0.434,0.774,1.291,1.022,0.853,0.831
"328","AT1G03545",0.071,0.17,0.157,0.384,0.132,0.095
"329","AT1G03560",3.232,2.742,3.338,4.562,3.377,3.89
"330","AT1G03570",0,0,0,0,0,0
"331","AT1G03580",0.032,0.204,0.643,0.191,0.118,0.032
"332","AT1G03590",28.099,19.131,9.169,8.797,10.934,13.228
"333","AT1G03600",219.828,235.646,281.067,206.106,294.323,282.184
"334","AT1G03610",22.626,25.511,31.398,18.052,29.623,28.681
"335","AT1G03620",0.292,0.238,0.629,0.389,0.167,0.224
"336","AT1G03630",70.871,130.65,151.604,161.537,123.999,109.231
"337","AT1G03640",0,0,0,0,0,0
"338","AT1G03650",2.431,1.936,1.41,4.084,3.269,1.855
"339","AT1G03660",0.056,0,0.15,0.269,0.106,0.184
"340","AT1G04203",0,0,0,0,0,0
"341","AT1G03670",0.018,0,0,0.032,0.017,0
"342","AT1G03680",216.986,230.839,291.516,422.178,322.848,277.889
"343","AT1G03687",5.914,6.063,6.784,8.843,6.843,7.034
"344","AT1G03700",0,0,0,0,0.114,0.306
"345","AT1G03710",0.166,0.354,0.138,0.17,0.092,0.29
"346","AT1G03720",0,0,0,0,0,0
"347","AT1G04207",0,0,0,0,0,0
"348","AT1G03730",3.429,3.931,4.771,10.826,2.62,3.619
"349","AT1G03740",8.796,9.643,14.027,15.672,3.953,4.22
"350","AT1G04213",0,0,0,0,0,0
"351","AT1G03743",0.434,0,0,0,0.396,0
"352","AT1G03746",0,0,0,0,0,0
"353","AT1G03750",1.365,2.574,2.59,3.141,2.014,2.269
"354","AT1G03760",3.614,3.197,2.546,5.201,3.195,2.58
"355","AT1G03770",1.111,1.417,1.171,1.431,1.034,1.016
"356","AT1G03780",0.738,0.545,0.929,1.014,0.836,1.276
"357","AT1G03790",0,0,0.018,0,0,0.019
"358","AT1G03800",0.54,0.316,0.187,0.138,0.174,0.202
"359","AT1G03810",0,0,0,0,0,0
"360","AT1G03820",8.05,1.702,12.356,25.162,28.325,23.282
"361","AT1G03830",0.935,1.52,1.551,2.933,0.876,1.244
"362","AT1G03840",0.124,0.114,0.247,0.188,0.133,0.372
"363","AT1G03850",0.119,0.484,2.651,0.89,0.8,0.823
"364","AT1G03860",36.851,29.645,17.784,31.729,32.854,27.999
"365","AT1G03870",23.642,13.034,21.816,30.47,42.114,50.964
"366","AT1G03880",0,0,0,0,0,0
"367","AT1G03890",0.023,0,0,0,0,0
"368","AT1G03900",50.434,48.108,52.732,70.938,44.635,51.168
"369","AT1G03905",2.04,1.168,1.16,1.812,1.507,1.361
"370","AT1G03910",17.886,15.943,16.408,19.023,15.483,16.419
"371","AT1G03920",0.6,0.658,0.834,1.367,0.96,0.516
