"GeneID","X60mins","X180mins","X360mins","X720mins","X1440mins","X2880mins"
"1916","AT1G05193",0,0,0,0,0,0
"1917","AT1G15740",23.084,57.016,69.685,30.591,47.682,43.549
"1918","AT1G15750",30.692,25.575,17.703,34.792,40.056,47.787
"1919","AT1G05197",0,0,0,0,0,0
"1920","AT1G15757",0,0,0,0,0,0
"1921","AT1G15760",0.526,0.806,0.964,1.153,2.736,3.388
"1922","AT1G15770",0.031,0,0,0.052,0.057,0
"1923","AT1G15772",0.038,0,0.098,0,0,0.04
"1924","AT1G15780",9.312,9.465,10.413,11.771,8.852,10.273
"1925","AT1G15790",1.189,0.874,3.335,6.742,1.727,1.88
"1926","AT1G15800",2.725,1.893,3.081,3.272,2.84,1.848
"1927","AT1G15810",5.751,5.966,8.123,12.61,8.669,7.933
"1928","AT1G05203",0.392,0.413,0.511,0.069,0.725,0.166
"1929","AT1G15820",1680.398,2681.419,2820.999,1019.479,1681.943,1779.544
"1930","AT1G05207",14.192,30.721,28.162,6.18,31.285,38.391
"1931","AT1G15830",11.546,12.611,10.085,1.611,8.86,16.41
"1932","AT1G15825",4.319,5.595,3.774,0.828,3.758,7.614
"1933","AT1G15840",0,0,0,0,0.035,0
"1934","AT1G15850",0,0,0,0,0,0
"1935","AT1G15860",20.155,25.214,23.502,20.041,23.718,18.516
"1936","AT1G15870",1.075,1.272,0.455,0.756,1.631,0.633
"1937","AT1G15880",14.511,19.016,21.58,20.594,19.549,17.301
"1938","AT1G15885",2.287,5.229,9.496,9.3,7.374,6.987
"1939","AT1G15890",0.165,0.414,1.098,1.742,0.524,0.164
"1940","AT1G15900",0.152,0.163,0.26,0.4,0.237,0.162
"1941","AT1G15910",2.92,4.534,5.628,8.734,6.028,6.68
"1942","AT1G15920",5.487,5.766,6.04,5.647,6.26,6.45
"1943","AT1G15930",96.038,76.977,46.958,74.174,96.963,83.328
"1944","AT1G15940",5.766,5.75,6.688,8.835,6.812,8.299
"1945","AT1G15950",26.075,19.982,22.532,9.636,38.657,39.263
"1946","AT1G05213",0.8,0.572,0.499,0.222,1.026,1.062
"1947","AT1G15960",6.694,5.517,5.432,6.727,11.546,11.538
"1948","AT1G15970",9.57,7.167,7.344,9.291,10.928,10.813
"1949","AT1G15980",139.605,158.406,161.475,187.336,188.226,197.01
"1950","AT1G15990",0.14,0.089,0.06,0.06,0.156,0.092
"1951","AT1G16000",16.378,16.911,13.636,22.302,18.977,13.629
"1952","AT1G16010",36.353,24.469,23.983,26.068,19.062,23.963
"1953","AT1G16020",7.644,8.311,8.072,10.92,10.204,11.026
"1954","AT1G16022",0,0,0.122,0.068,0.142,0.079
"1955","AT1G16025",0,0,0,0,0,0
"1956","AT1G16030",2.841,2.996,2.938,2.687,1.666,2.002
"1957","AT1G16040",3.37,5.241,7.635,6.72,5.28,4.968
"1958","AT1G16060",2.381,1.96,3.208,1.798,2.34,3.229
"1959","AT1G16070",0.48,0.338,0.524,0.672,0.464,0.607
"1960","AT1G16080",144.892,149.047,107.154,101.311,160.931,154.539
"1961","AT1G16090",3.272,5.933,4.101,6.25,6.689,5.818
"1962","AT1G16100",0,0,0,0,0,0
"1963","AT1G16110",1.149,2.95,7.098,11.668,1.457,1.445
"1964","AT1G05217",0,0,0,0,0,0
"1965","AT1G16120",0.026,0.042,0,0,0.024,0.014
"1966","AT1G16130",0.668,0.558,0.388,2.135,0.698,0.292
"1967","AT1G16140",0,0.016,0,0,0,0
"1968","AT1G16150",0.014,0,0.01,0.023,0.025,0
"1969","AT1G16160",0.026,0.014,0,0,0.012,0.014
"1970","AT1G16170",5.698,6.638,9.607,8.974,9.867,6.454
"1971","AT1G16180",41.327,52.557,60.583,57.487,50.793,49.134
"1972","AT1G16190",11.23,7.784,8.16,11.732,10.162,8.94
"1973","AT1G16210",36.287,39.071,38.377,40.564,41.829,38.056
"1974","AT1G16220",0.43,0.69,0.849,2.102,1.12,1.06
"1975","AT1G16225",0,0,0,0,0,0
"1976","AT1G05223",0,0,0,0,0,0
"1977","AT1G16230",0,0.057,0,0,0,0
"1978","AT1G16240",31.041,33.136,37.862,30.085,26.526,25.895
"1979","AT1G16250",3.587,5.709,5.679,5.327,4.052,3.902
"1980","AT1G16260",4.056,7.522,8.971,17.313,10.79,12.85
"1981","AT1G16270",7.087,6.717,6.707,7.046,5.941,7.346
"1982","AT1G16280",2.012,2.844,3.741,4.463,2.696,2.563
"1983","AT1G16290",0.04,0,0,0,0.018,0
"1984","AT1G16300",7.885,4.043,2.194,2.405,3.399,2.933
"1985","AT1G16310",1.878,2.345,2.875,2.419,3.375,3.363
"1986","AT1G16320",62.242,60.503,57.154,53.035,84.975,83.578
"1987","AT1G16330",0.323,0.201,0.37,1.113,0.381,0.382
"1988","AT1G16340",3.428,4.229,8.788,11.78,6.571,6.478
"1989","AT1G16350",21.406,16.821,17.234,24.41,24.556,24.752
"1990","AT1G16360",0.042,0,0.07,0.036,0.058,0.202
"1991","AT1G16370",23.842,2.486,0.648,2.67,1.167,0.08
"1992","AT1G16380",0.028,0.016,0.025,0.037,0.027,0
"1993","AT1G16390",1.414,2.329,2.412,1.327,1.514,2.095
"1994","AT1G16400",12.116,11.002,21.581,10.671,14.916,12.256
"1995","AT1G16410",149.47,134.508,313.222,197.548,164.212,174.02
"1996","AT1G16420",1.266,0.983,0.454,0.586,1.399,0.851
"1997","AT1G16430",6.796,7.695,6.36,6.101,6.732,7.732
"1998","AT1G16440",0.066,0.07,0.038,0.092,0.102,0.07
"1999","AT1G16445",2.713,1.94,1.099,1.358,2.808,1.911
"2000","AT1G16450",0,0,0,0,0,0
"2001","AT1G16460",23.913,27.591,43.505,39.793,35.215,34.249
"2002","AT1G16470",31.878,42.835,45.858,46.715,44.338,32.521
"2003","AT1G16480",0.719,0.366,0.596,1.212,0.511,0.682
"2004","AT1G05227",0,0.126,0,0,0.11,0
"2005","AT1G16489",0.021,0.068,0.077,0.128,0.04,0.113
"2006","AT1G16490",0,0,0,0,0,0
"2007","AT1G16500",4.705,1.887,1.865,7.934,2.607,4.433
"2008","AT1G05233",0,0,0,0,0,0
"2009","AT1G16510",1.934,1.224,0.914,2.569,1.39,1.792
"2010","AT1G05237",0,0,0,0,0,0
"2011","AT1G16515",2.386,3.113,3.062,4.372,11.79,9.165
"2012","AT1G16520",6.05,3.117,3.324,9.133,8.31,7.646
"2013","AT1G16530",0.791,0.695,0.613,0.558,1.76,1.122
"2014","AT1G16540",3.928,4.351,4.244,5.858,3.099,3.72
"2015","AT1G16550",1.22,1.74,1.547,2.041,1.334,1.958
"2016","AT1G16560",11.816,13.159,17.45,25.563,12.12,10.625
"2017","AT1G05243",0,0,0,0,0,0
"2018","AT1G16570",6.136,7.103,8.182,10.163,5.713,6.287
"2019","AT1G16590",1.669,3.359,5.612,4.712,3.468,3.777
"2020","AT1G16600",0,0,0,0,0,0
"2021","AT1G16610",10.751,10.478,10.396,12.261,12.079,11.126
"2022","AT1G16620",0,0,0,0,0,0
"2023","AT1G16630",0.826,0.688,0.916,1.207,0.948,0.784
"2024","AT1G16635",0.08,0.086,0.101,0.136,0.186,0.082
"2025","AT1G05247",0,0,0,0,0,0
"2026","AT1G16640",0.574,0.704,0.782,1.265,1.146,0.649
"2027","AT1G16650",1.446,3.074,2.692,3.416,2.412,1.996
"2028","AT1G16660",0,0,0,0,0,0
"2029","AT1G16670",5.404,6.334,7.087,12.351,6.083,6.121
"2030","AT1G16680",5.166,9.346,10.47,12.188,9.671,10.291
"2031","AT1G16690",2.158,2.734,3.164,4.259,2.72,2.776
"2032","AT1G16700",41.487,53.077,51.718,48.624,49.469,40.96
"2033","AT1G16705",0,0.206,0.138,0.113,0.09,0.202
"2034","AT1G16710",6.827,6.428,7.272,8.164,5.514,7.43
"2035","AT1G16720",91.67,118.887,111.065,58.679,142.247,187.562
"2036","AT1G05253",0,0,0,0,0,0
"2037","AT1G16730",30.413,41.08,22.132,2.458,36.96,48.216
"2038","AT1G05257",0,0,0,0,0,0
"2039","AT1G16740",19.856,27.648,26.794,35.712,27.321,28.213
"2040","AT1G16750",5.125,8.647,6.004,10.944,9.136,9.779
"2041","AT1G05263",0,0,0,0,0,0
"2042","AT1G16760",0.013,0.014,0,0,0.024,0.028
"2043","AT1G16770",0.302,0.225,0.416,0.462,0.325,0.397
"2044","AT1G16780",3.208,3.76,5.657,7.441,4.277,4.198
"2045","AT1G16790",0,0,0,0,0,0
"2046","AT1G16800",0.627,0.837,0.963,1.544,0.826,1.14
"2047","AT1G16810",35.21,53.165,58.25,53.802,39.053,36.974
"2048","AT1G16820",0.335,0.514,0.859,0.862,0.448,0.428
"2049","AT1G05267",0,0,0,0,0,0
"2050","AT1G05273",0,0,0,0,0,0
"2051","AT1G16825",4.743,5.254,5.36,5.799,5.147,5.489
"2052","AT1G16830",0.536,0.831,0.359,0.802,0.288,0.503
"2053","AT1G16840",20.678,19.007,25.526,22.735,14.514,13.742
"2054","AT1G16850",33.38,28.394,12.127,17.532,2.893,2.729
"2055","AT1G16860",37.883,17.872,16.553,20.816,11.889,14.145
"2056","AT1G16870",8.704,8.8,7.86,12.352,9.59,8.043
"2057","AT1G16880",240.945,264.826,268.853,485.352,341.59,343.492
"2058","AT1G16890",41.422,59.073,68.016,51.175,63.029,49.142
"2059","AT1G05277",1.412,1.916,1.814,2.679,1.358,1.971
"2060","AT1G16900",3.586,5.043,6.986,7.63,4.785,4.559
"2061","AT1G16905",0,0,0,0,0,0.026
"2062","AT1G16910",0,0,0.034,0.03,0,0
"2063","AT1G16916",4.262,8.253,8.768,11.326,6.16,5.64
"2064","AT1G16920",11.681,9.992,11.212,11.3,10.299,9.16
"2065","AT1G16930",1.284,2.037,2.614,2.898,1.808,1.879
"2066","AT1G16940",0,0,0,0,0,0
"2067","AT1G16945",0,0,0,0,0,0
"2068","AT1G16950",0,0,0,0,0,0
"2069","AT1G16960",9.018,14.849,19.8,14.515,10.986,7.09
"2070","AT1G16970",3.943,4.473,4.364,6.027,4.829,4.66
"2071","AT1G16980",0,0,0,0,0,0
"2072","AT1G17000",0,0,0,0,0,0
"2073","AT1G17010",0,0,0,0,0,0
"2074","AT1G17020",0.578,0.867,2.033,1.037,0.626,1.059
"2075","AT1G17030",0.438,0.276,0.19,0.414,0.37,0.56
"2076","AT1G17040",2.271,3.773,3.243,3.696,4.481,3.664
"2077","AT1G05283",0,0,0,0,0,0
"2078","AT1G17050",83.276,78.394,42.202,21.014,127.969,123.618
"2079","AT1G17060",0.594,0.521,0.929,1.428,0.403,0.273
"2080","AT1G17065",0,0,0,0.189,0,0
"2081","AT1G05287",0,0,0.07,0,0,0
"2082","AT1G17070",4.487,3.335,2.897,4.017,3.096,3.621
"2083","AT1G17080",41.687,50.845,48.785,54.194,46.082,45.344
"2084","AT1G17090",1.593,1.911,1.91,4.469,4.936,3.805
"2085","AT1G17100",128.591,96.003,53.257,152.706,327.012,299.551
"2086","AT1G17110",23.005,16.932,16.175,18.151,14.392,17.024
"2087","AT1G17120",11.802,11.105,11.55,14.311,10.466,13.52
"2088","AT1G17130",16.089,17.282,16.574,19.297,16.293,16.988
"2089","AT1G05293",0,0,0.116,0.316,0,0
"2090","AT1G17140",5.771,21.524,23.9,24.457,18.067,17.672
"2091","AT1G05297",0,0.66,0.78,1.137,0.568,0.225
"2092","AT1G17145",6.142,11.079,16.032,13.178,8.896,9.719
"2093","AT1G17147",0.072,0.5,2.061,1.913,0.236,0.078
"2094","AT1G17150",0,0.03,0,0,0,0
"2095","AT1G17160",7.189,10.667,12.162,20.314,8.674,10.41
"2096","AT1G17170",1.639,4.349,2.224,3.909,2.341,2.689
"2097","AT1G17180",0.1,0.18,0.344,0.172,0.346,0.357
"2098","AT1G17190",0.712,2.035,2.194,2.611,2.704,1.781
"2099","AT1G17200",11.617,33.404,43.128,34.326,34.75,26.557
"2100","AT1G17210",19.467,17.946,17.111,20.73,22.851,27.056
"2101","AT1G17220",100.971,100.062,104.508,141.307,134.304,157.849
"2102","AT1G17232",0,0,0,0,0,0
"2103","AT1G17230",0.008,0,0,0,0,0
"2104","AT1G17235",0.038,0.288,0.138,0.262,0.213,0.208
"2105","AT1G17240",0.15,0.202,0.507,0.464,0.176,0.272
"2106","AT1G17255",0.185,0.22,0.304,0.365,0.209,0.244
"2107","AT1G17250",0,0,0,0,0,0
"2108","AT1G17260",0.635,0.584,0.64,0.69,0.707,0.781
"2109","AT1G17270",1.775,2.58,2.606,2.655,1.598,1.706
"2110","AT1G17275",0,0,0,0,0,0
"2111","AT1G17277",0,0,0,0,0,0
"2112","AT1G17280",14.95,20.547,17.956,15.289,18.445,15.736
"2113","AT1G17285",0.166,0.176,0.033,0.036,0.154,0.09
"2114","AT1G17290",86.642,92.883,112.718,83.341,56.845,46.538
"2115","AT1G17300",0.032,0.07,0.079,0.14,0.092,0
"2116","AT1G17310",0,0,0,0,0,0
"2117","AT1G17330",8.21,9.07,10.004,16.546,8.022,8.191
"2118","AT1G17340",15.053,8.692,8.193,9.242,6.758,7.107
"2119","AT1G17345",0,0,0,0,0,0
"2120","AT1G17350",2.633,3.916,5.132,5.202,3.926,3.13
"2121","AT1G17360",26.175,19.429,20.638,16.941,28.897,29.538
"2122","AT1G05303",0,0,0,0,0,0
"2123","AT1G17370",50.443,30.159,28.639,39.221,44.011,53.622
"2124","AT1G17380",109.143,8.258,7.725,13.46,8.252,5.688
"2125","AT1G17390",0.066,0,0,0,0,0
"2126","AT1G17400",0.022,0.023,0.02,0.184,0.04,0.048
"2127","AT1G05307",0,0,0,0,0,0
"2128","AT1G17410",12.761,5.373,5.121,5.738,5.816,4.342
"2129","AT1G05313",0,0,0,0,0,0
"2130","AT1G17420",819.41,39.414,36.815,29.868,14.79,3.375
"2131","AT1G17430",3.598,2.224,5.535,13.826,3.891,3.734
"2132","AT1G17440",18.692,11.774,14.613,24.453,13.815,16.938
"2133","AT1G17450",1.357,1.822,3.062,4.407,1.771,1.637
"2134","AT1G17455",1.595,3.968,10.622,9.761,2.878,2.183
"2135","AT1G17460",0.556,0.834,2.365,2.95,0.626,0.458
"2136","AT1G17470",31.581,27.433,37.078,45.964,40.102,39.748
"2137","AT1G17480",1.127,1.051,2.031,3.499,1.372,1.682
"2138","AT1G17490",13.31,19.051,18.494,27.751,19.115,16.401
"2139","AT1G17495",0,0,0,0,0,0
"2140","AT1G17500",4.399,4.117,5.383,10.108,3.225,3.494
"2141","AT1G17510",4.188,6.001,8.098,9.566,5.562,3.886
"2142","AT1G17520",6.925,6.091,6.808,7.357,6.077,6.181
"2143","AT1G17530",11.62,12.07,13.369,13.58,12.71,14.027
"2144","AT1G17540",0.024,0,0.01,0,0,0.04
"2145","AT1G17545",0,0,0,0.056,0,0
"2146","AT1G17550",32.418,27.893,27.764,33.826,28.138,33.368
"2147","AT1G17560",1.636,3.249,2.735,3.842,2.898,1.847
"2148","AT1G17570",0,0,0,0,0,0
"2149","AT1G17580",7.247,7.004,6.815,7.688,6.192,7.217
"2150","AT1G17590",1.268,0.983,1.766,3.807,2.248,2.073
"2151","AT1G17600",0.685,0.47,0.492,2.268,1.169,1.414
"2152","AT1G17610",0.04,0.028,0.068,0.216,0.076,0.088
"2153","AT1G17615",0,0,0,0,0,0.026
"2154","AT1G17620",57.528,15.122,12.43,23.823,12.311,17.066
"2155","AT1G17630",0.796,0.476,0.953,1.543,0.952,0.901
"2156","AT1G17640",1.252,2.268,3.317,2.434,1.522,1.641
"2157","AT1G17650",31.658,29.614,25.131,33.511,37.692,25.291
"2158","AT1G17665",0.154,0.164,1.446,14.854,0.192,0.216
"2159","AT1G17660",0,0,0,0,0,0
"2160","AT1G17670",0,0,0,0,0.434,0
"2161","AT1G17680",6.079,7.138,8.559,9.906,6.26,7.186
"2162","AT1G17690",5.492,4.681,5.447,7.123,6.018,5.22
"2163","AT1G17700",0.994,0.291,1.357,0.876,0.619,1.63
"2164","AT1G17710",0.099,0.374,0.473,0.446,0.956,0.266
"2165","AT1G17720",24.297,19.846,18.738,27.593,18.226,21.758
"2166","AT1G17730",28.226,29.774,28.715,28.676,28.406,25.774
"2167","AT1G17744",0.134,0.036,0.032,0.058,0.032,0.104
"2168","AT1G17745",18.853,25.454,8.71,29.712,7.516,19.012
"2169","AT1G05317",0.416,0.192,0,0.363,0.166,0.196
"2170","AT1G17750",3.78,1.1,0.774,1.501,0.724,0.923
"2171","AT1G05323",0,0,0,0,0,0
"2172","AT1G05327",0,0,0,0,0,0
"2173","AT1G17760",10.125,4.608,6.032,8.912,6.574,6.665
"2174","AT1G17770",0,0,0,0,0,0
"2175","AT1G17780",6.192,9.861,10.126,10.015,10.501,11.192
"2176","AT1G17790",4.535,4.489,5.275,5.503,3.774,4.21
"2177","AT1G17800",0,0,0,0,0,0
"2178","AT1G17810",0,0,0,0,0,0
"2179","AT1G05333",0,0,0,0,0,0
"2180","AT1G17820",0,0,0,0,0,0
"2181","AT1G17830",10.244,2.839,2.219,1.431,3.305,2.618
"2182","AT1G05337",0,0,0,0,0,0
"2183","AT1G17840",51.968,38.73,26.765,28.628,28.498,31.316
"2184","AT1G17850",2.008,3.874,7.566,7.659,4.29,3.806
"2185","AT1G05343",0,0,0.135,0,0,0
"2186","AT1G17860",0,0,0,0,0,0
"2187","AT1G05347",0,0,0,0,0,0
"2188","AT1G17870",4.245,3.664,1.465,1.692,12.689,16.993
"2189","AT1G05353",0,0,0,0,0,0
"2190","AT1G17880",93.485,97.717,82.884,93.718,146.921,100.093
"2191","AT1G17890",14.842,15.01,14.457,21.696,10.807,10.473
"2192","AT1G17900",0,0,0,0,0,0
"2193","AT1G17910",0,0,0,0,0,0
"2194","AT1G17920",0.595,0.598,1.078,1.295,0.54,0.544
"2195","AT1G05357",0,0,0,0,0,0
"2196","AT1G17930",3.245,3.979,4.077,4.143,3.975,3.54
"2197","AT1G17940",44.511,7.188,6.761,6.612,5.614,3.857
"2198","AT1G17950",0.11,0.205,0.124,0.167,0.127,1.103
"2199","AT1G17960",0.066,0.162,0.182,0.203,0.18,0.292
"2200","AT1G17970",1.781,6.267,12.862,7.196,2.49,2.798
"2201","AT1G17980",10.186,6.16,8.063,10.141,5.649,6.652
"2202","AT1G17990",0,0,0.02,0.02,0,0
"2203","AT1G18000",0,0,0.014,0,0,0
"2204","AT1G18010",0.016,0,0.016,0.014,0,0.017
"2205","AT1G18020",0,0,0,0.02,0,0
"2206","AT1G18030",3.013,4.678,5.447,5.522,3.598,3.731
"2207","AT1G05363",0.143,0.157,0,0.122,0,0
"2208","AT1G18040",3.581,3.03,2.437,3.328,2.677,2.304
"2209","AT1G05367",0.222,0,0,0,0.101,0
"2210","AT1G18050",0.078,0,0,0,0,0
"2211","AT1G18060",133.25,154.24,131.554,78.553,160.209,163.413
"2212","AT1G18070",75.82,46.111,46.045,59.459,48.205,56.632
"2213","AT1G05373",0,0,0,0,0,0
"2214","AT1G05377",0,0,0,0,0,0
"2215","AT1G18080",206.973,172.474,106.043,181.097,175.721,168.523
"2216","AT1G18090",2.3,2.365,2.424,3.459,3.278,2.771
"2217","AT1G18100",0,0,0,0,0,0.026
"2218","AT1G05383",0,0,0,0,0,0
"2219","AT1G18120",0,0,0,0,0,0
"2220","AT1G18130",0,0,0,0,0,0
"2221","AT1G18140",0.05,0.092,0.048,0.015,0.032,0.038
"2222","AT1G18150",12.3,19.908,32.255,26.403,10.831,12.794
"2223","AT1G18160",9.092,10.582,13.293,16.05,8.372,11.191
"2224","AT1G18170",28.244,28.105,34.215,63.227,40.288,38.781
"2225","AT1G18180",2.176,4.127,3.633,4.278,2.617,2.789
"2226","AT1G18190",4.87,7.573,7.457,8.393,5.588,5.655
"2227","AT1G18191",0.073,0,0,0,0,0
"2228","AT1G18193",0,0,0,0,0,0
"2229","AT1G18197",0.07,0,0.062,0.062,0.033,0.271
"2230","AT1G18200",10.753,3.811,2.907,2.409,2.296,1.022
"2231","AT1G18210",103.535,37.445,27.179,57.559,34.32,27.672
"2232","AT1G18220",0,0.264,0,0.208,0,0
"2233","AT1G05387",0,0,0,0,0,0
"2234","AT1G05397",0,0,0.092,0.048,0.106,0
"2235","AT1G18230",0,0,0,0.048,0,0
"2236","AT1G18240",0,0,0,0,0,0
"2237","AT1G18250",3.265,2.588,2.384,4.183,2.878,2.372
"2238","AT1G18260",17.566,20.409,20.622,27.38,16.737,18.607
"2239","AT1G18265",0.186,3.339,11.782,7.754,1.602,0.865
"2240","AT1G18270",9.65,13.284,14.708,14.497,10.672,13.748
"2241","AT1G18280",0,0.039,0.029,0,0,0
"2242","AT1G18290",0.03,0.265,0.058,0.08,0.029,0.066
"2243","AT1G18300",85.165,82.57,102.26,167.305,100.627,62.433
"2244","AT1G18310",0.087,0.018,0,0,0.082,0.018
"2245","AT1G18320",0.201,0.629,0.508,0.676,0.869,0.767
"2246","AT1G18330",0.712,3.202,8.161,0.537,1.893,1.763
"2247","AT1G18335",3.106,5.456,6.29,4.944,5.044,4.324
"2248","AT1G18340",3.75,6.599,6.988,6.402,5.204,4.5
"2249","AT1G18350",0.5,0.733,0.74,0.316,0.058,0.069
"2250","AT1G18360",7.588,21.286,27.209,14.063,12.151,13.319
"2251","AT1G18370",1.268,0.837,1.135,1.438,1.317,1.454
"2252","AT1G18390",0.48,1.366,1.978,1.822,0.628,0.638
"2253","AT1G18382",0,0.094,0.035,0.039,0.041,0
"2254","AT1G18400",1.28,1.592,4.309,3.288,4.864,5.017
"2255","AT1G18410",0.026,0.028,0.022,0.052,0.056,0.045
"2256","AT1G18415",0.099,0.306,0.234,0.472,0.312,0.292
"2257","AT1G18420",0,0,0.018,0,0,0
"2258","AT1G18430",0,0,0,0,0,0
"2259","AT1G18440",13.273,13.107,10.369,11.161,14.834,12.35
"2260","AT1G18450",18.985,16.539,16.532,20.672,17.616,20.21
"2261","AT1G18460",65.951,20.69,19.782,8.217,26.424,30.111
"2262","AT1G18470",9.859,15.153,23.952,19.788,8.37,10.412
"2263","AT1G18480",12.05,10.345,9.543,11.934,8.268,8.787
"2264","AT1G18485",4.553,4.37,4.516,9.989,5.501,6.427
"2265","AT1G18486",0,0,0,0,0,0
"2266","AT1G18490",6.974,10.79,9.93,11.515,9.646,9.781
"2267","AT1G18500",33.522,29.553,24.262,30.088,23.239,24.095
"2268","AT1G18510",0.047,0,0,0,0,0
"2269","AT1G18520",0,0,0,0,0,0
"2270","AT1G18530",0,0,0,0,0,0
"2271","AT1G18540",87.907,85.817,48.995,73.221,92.832,72.696
"2272","AT1G18550",0.72,0.96,1.434,2.367,1.538,1.909
"2273","AT1G18560",1.561,1.71,1.823,2.619,1.421,1.476
"2274","AT1G18570",1.492,3.906,6.673,18.448,7.697,5.126
"2275","AT1G18580",6.12,6.268,7.062,7.885,5.197,6.266
"2276","AT1G18590",99.079,71.845,102.88,61.588,86.245,81.892
"2277","AT1G18600",7.344,11.134,8.776,10.929,9.393,8.992
"2278","AT1G18610",3.695,4.048,3.384,5.228,5.915,6.249
"2279","AT1G18620",5.073,12.841,22.7,12.241,8.422,8.538
"2280","AT1G18630",11.808,9.846,8.194,9.549,13.735,9.959
"2281","AT1G18640",9.584,11.91,16.993,17.047,10.174,10.742
"2282","AT1G18650",3.148,7.684,11.75,7.506,10.779,9.643
"2283","AT1G18660",25.121,27.435,30.069,27.776,41.909,36.644
"2284","AT1G18670",3.634,4.117,4.892,5.451,4.257,4.311
"2285","AT1G18680",8.664,9.211,7.904,6.627,8.303,8.082
"2286","AT1G18690",0.734,1.687,2.449,1.976,1.48,1.167
"2287","AT1G18700",6.999,7.233,10.502,10.678,8.534,8.413
"2288","AT1G05407",0,0,0,0,0,0
"2289","AT1G05413",0,0,0,0,0,0
"2290","AT1G18710",106.336,0.749,4.78,8.954,7.215,4.172
"2291","AT1G18720",38.849,32.743,50.548,73.419,38.267,34.053
"2292","AT1G18730",76.988,79.517,85.707,115.062,108.782,89.578
"2293","AT1G18735",0.036,0.038,0.058,0.214,0.033,0.076
"2294","AT1G18740",101.142,64.46,85.287,110.187,72.791,46.722
"2295","AT1G18745",1.06,1.445,1.708,2.027,1.619,0.645
"2296","AT1G05417",0,0,0,0,0,0
"2297","AT1G05423",0,0,0,0,0,0
"2298","AT1G05427",0,0,0,0,0,0
"2299","AT1G05433",0,0,0,0,0,0
"2300","AT1G18750",4.737,3.614,2.662,3.277,7.747,7.409
"2301","AT1G18760",0,0,0,0,0,0
"2302","AT1G18770",0,0,0,0,0,0
"2303","AT1G18773",2.76,6.046,6.469,3.569,6.514,4.096
"2304","AT1G18780",0,0,0,0,0,0
"2305","AT1G18790",0,0,0,0,0,0
"2306","AT1G18800",19.962,20.373,11.466,17.307,23.037,18.659
"2307","AT1G18810",17.306,26.764,22.273,4.857,35.432,29.691
"2308","AT1G18820",0,0,0,0,0,0
"2309","AT1G18830",0.101,0.14,0.415,0.098,0.177,0.49
"2310","AT1G18835",0,0,0.27,0,0.198,0.168
"2311","AT1G05443",0.102,0,0.166,0.547,0.579,0.436
"2312","AT1G18840",4.351,5.586,8.599,9.456,8.274,8.008
"2313","AT1G18850",5.521,4.342,3.247,3.343,4.336,4.099
"2314","AT1G05447",0,0,0,0,0,0
"2315","AT1G18860",0.036,0.02,0.166,0.112,0.135,0.078
"2316","AT1G18870",1.719,1.634,1.319,1.717,0.915,1.272
"2317","AT1G18871",0,0,0,0,0,0
"2318","AT1G18880",2.272,1.7,2.923,2.239,5.399,4.862
"2319","AT1G18890",11.027,8.707,7.246,7.431,6.297,6.745
"2320","AT1G05453",0,0,0,0,0,0
"2321","AT1G18900",6.729,4.687,3.962,5.531,8.637,8.821
"2322","AT1G18910",1.603,1.442,1.214,1.878,1.676,1.741
"2323","AT1G18930",0,0,0,0,0,0
"2324","AT1G18940",0.613,0.676,0.76,1.024,0.582,1.129
"2325","AT1G18950",9.649,10.598,10.035,12.599,8.758,11.031
"2326","AT1G18960",0.062,0.065,0,0.026,0,0
"2327","AT1G18970",0,0,0.029,0,0.029,0.1
"2328","AT1G18975",0,0,0,0,0,0
"2329","AT1G18980",0,0,0,0,0,0
"2330","AT1G18990",0.162,0.56,0.495,0.122,0.219,0.078
"2331","AT1G19000",105.731,158.868,126.616,99.509,156.963,176.003
"2332","AT1G19010",3.55,5.623,5.2,4.108,4.536,5.225
"2333","AT1G19020",23.799,11.311,7.902,19.65,11.297,7.134
"2334","AT1G19025",1.028,1.063,0.962,1.628,1.182,0.999
"2335","AT1G19030",0.028,0.062,0.027,0.048,0.027,0
"2336","AT1G19040",0.178,0.465,0.114,0.13,0.048,0.083
"2337","AT1G19050",66.546,45.773,34.553,19.91,30.783,27.236
"2338","AT1G19060",0,0,0,0,0,0
"2339","AT1G19080",2.5,3.566,4.374,3.774,4.88,3.168
"2340","AT1G19070",1.369,2.486,2.103,3.404,2.031,1.75
"2341","AT1G19086",0,0,0,0,0,0
"2342","AT1G19090",0,0,0,0,0,0
"2343","AT1G19100",4.332,4.699,4.421,4.734,4.427,4.727
"2344","AT1G19110",19.302,16.318,16.242,17.146,15.865,18.87
"2345","AT1G19115",0,0,0,0,0,0
"2346","AT1G19120",12.852,20.206,21.899,21.408,21.014,15.86
"2347","AT1G05463",0.181,0,0,0,0.166,0
"2348","AT1G19130",17.73,19.849,30.774,34.907,27.868,21.508
"2349","AT1G05467",1.753,5.928,9.03,9.036,5.309,5.245
"2350","AT1G19140",40.626,23.778,16.951,17.274,37.751,36.249
"2351","AT1G19150",107.41,133.254,138.535,167.119,154.825,168.704
"2352","AT1G19160",0.46,0.554,0.417,0.288,0.171,0.288
"2353","AT1G19170",7.059,7.75,9.393,9.038,8.225,6.89
"2354","AT1G05473",0,0,0,0,0,0
"2355","AT1G19180",320.721,58.548,63.947,111.728,37.65,31.914
