"GeneID","X60mins","X180mins","X360mins","X720mins","X1440mins"
"1","AT1G01010",1.967,3.42,2.35,4.04,3.64
"2","AT1G01020",6.707,8.307,10.673,13.317,10.162
"3","AT1G03987",0.452,0.834,0.28,1.247,0.255
"4","AT1G01030",2.839,2.987,1.393,1.795,0.755
"5","AT1G01040",3.716,4.697,5.147,10.995,9.494
"6","AT1G03993",0,0,0,0,0
"7","AT1G01050",52.726,37.904,45.999,37.118,22.022
"8","AT1G03997",0.579,0.164,0,0.123,0
"9","AT1G01060",127.321,70.296,36.298,7.349,0.314
"10","AT1G01070",0.896,0.6,1.64,2.619,2.276
"11","AT1G04003",0,0,0,0,0
"12","AT1G01080",39.828,19.049,16.407,10.575,1.756
"13","AT1G01090",105.632,76.505,80.981,40.648,38.53
"14","AT1G01100",172.075,274.113,153.957,133.541,175.178
"15","AT1G01110",0.186,0.516,0.369,1.104,0.701
"16","AT1G01120",16.162,18.657,10.02,8.733,3.197
"17","AT1G01130",1.967,2.827,0.99,1.194,1.381
"18","AT1G01140",67.55,97.873,78.597,61.314,42.747
"19","AT1G01150",0.026,0,0,0,0
"20","AT1G01160",10.366,12.326,22.871,32.511,24.578
"21","AT1G04007",0.885,0.984,3.003,5.951,5.005
"22","AT1G01170",32.883,66.007,138.639,183.779,99.188
"23","AT1G04013",2.963,3.116,4.327,2.886,1.05
"24","AT1G01180",1.604,4.941,7.734,9.176,10.399
"25","AT1G01190",0.702,0.962,1.399,0.7,0.099
"26","AT1G01200",0.679,0.038,0,0,0
"27","AT1G01210",7.472,6.349,8.988,12.537,11.283
"28","AT1G04017",0,0,0,0,0
"29","AT1G01220",3.3,2.751,3.103,7.037,2.702
"30","AT1G04023",0,0,0,0,0
"31","AT1G01225",1.598,0.895,0.533,0.569,0.696
"32","AT1G01230",7.769,8.964,8.89,8.088,5.615
"33","AT1G01240",3.595,25.376,29.883,42.728,99.379
"34","AT1G01250",2.21,1.542,0.834,2.44,1.061
"35","AT1G01260",1.95,2.947,8.239,13.676,18.862
"36","AT1G01270",0,0,0,0.466,0
"37","AT1G01280",0,0,0,0,0.028
"38","AT1G01290",3.023,3.159,2.67,2.514,1.561
"39","AT1G01300",3.299,1.985,3.792,3.811,4.699
"40","AT1G01305",0.398,0.075,0.136,0,0
"41","AT1G01310",2.601,0.944,1.115,2.16,1.74
"42","AT1G01320",70.323,70.022,88.243,118.15,115.611
"43","AT1G01335",0,0.369,0.31,1.984,3.628
"44","AT1G01340",0.839,2.251,4.222,2.542,4.016
"45","AT1G01350",7.577,16.211,18.912,13.508,17.806
"46","AT1G01355",0.187,0.362,0.996,0.584,0.914
"47","AT1G01360",37.139,37.807,20.363,12.566,29.293
"48","AT1G01370",0.646,0.436,0.628,0.268,0.064
"49","AT1G01380",0.528,0.585,0.46,0.674,0.46
"50","AT1G01390",9.266,4.314,3.42,2.357,0.019
"51","AT1G01400",0,0,0,0,0
"52","AT1G01410",0,0,0,0,0
"53","AT1G01420",3.777,2.556,3.586,2.951,0.584
"54","AT1G01430",8.392,10.441,10.717,10.343,3.772
"55","AT1G01440",2.144,3.76,5.208,8.944,12.195
"56","AT1G01448",0.774,1.373,2.428,5.134,4.337
"57","AT1G01450",0,0,0.057,0.146,0.104
"58","AT1G01453",0,0,0.026,0.044,0.146
"59","AT1G01460",0,0,0,0,0.024
"60","AT1G01470",59.754,190.718,254.007,269.188,444.533
"61","AT1G01480",0.04,0.089,0.15,0.609,12.863
"62","AT1G01490",15.451,25.489,23.043,30.628,44.42
"63","AT1G01500",1.895,4.808,6.771,9.415,8.543
"64","AT1G01510",8.475,7.409,6.342,5.796,2.902
"65","AT1G01520",27.425,8.028,4.074,1.405,1.204
"66","AT1G01530",0,0.122,0.056,0.136,0
"67","AT1G01540",15.207,19.34,18.897,19.138,10.264
"68","AT1G01550",38.375,42.406,50.501,64.142,112.731
"69","AT1G01560",0.777,0.399,0.377,1.17,7.674
"70","AT1G01570",0.261,0.654,0.986,1.046,0.611
"71","AT1G01580",0.705,0.404,0.57,0.322,0.2
"72","AT1G01590",0,0,0,0.039,0
"73","AT1G01600",0.053,0.138,0.067,0.132,0.364
"74","AT1G01610",17.354,19.109,19.154,18.793,24.351
"75","AT1G01620",140.911,368.89,460.799,406.491,400.266
"76","AT1G01630",14.355,8.783,12.768,14.471,12.528
"77","AT1G01640",0.656,0.324,1.491,1.754,3.886
"78","AT1G01650",6.264,9.176,17.383,30.661,61.135
"79","AT1G01660",0.263,0.203,0.198,0.532,0.355
"80","AT1G01670",0.702,0.512,0.372,0.797,0.314
"81","AT1G01680",0.069,0.195,0.128,0.594,0.442
"82","AT1G01690",0.463,0.397,0.311,0.863,0.481
"83","AT1G01695",0.025,0.056,0.048,0.062,0.021
"84","AT1G04033",0,0,0.116,0,0
"85","AT1G04037",0.166,1.102,2.176,3.279,2.744
"86","AT1G01700",0.428,0.347,0.377,0.608,0.178
"87","AT1G01710",15.358,17.788,26.243,41.564,26.924
"88","AT1G01715",2.878,5.935,7.539,17.431,14.566
"89","AT1G04043",0,0,0,0,0
"90","AT1G01720",478.332,217.424,127.291,73.917,268.62
"91","AT1G01725",23.059,16.098,27.98,37.222,70.599
"92","AT1G04047",10.816,5.633,3.462,3.035,18.25
"93","AT1G01730",15.069,12.282,9.866,17.43,54.496
"94","AT1G01740",4.481,2.107,2.048,2.122,5.646
"95","AT1G01750",0.782,0.526,0.19,0.232,0.97
"96","AT1G04053",0.142,0.16,0.139,0,0
