Sample name	title	source name	organism	characteristics: Tissue	characteristics: Developmental Stage	characteristics: Ecotype	characteristics: Genotype	characteristics: Treatment	characteristics: Original series ID	characteristics: Replicate Group	molecule	label	platform
GSM265428	Reanalysis of GSM265428	"Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10497	GSE10497_11	total RNA	biotin	GPL198
GSM265429	Reanalysis of GSM265429	"Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10497	GSE10497_11	total RNA	biotin	GPL198
GSM265430	Reanalysis of GSM265430	"Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10497	GSE10497_13	total RNA	biotin	GPL198
GSM265431	Reanalysis of GSM265431	"Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10497	GSE10497_13	total RNA	biotin	GPL198
GSM265432	Reanalysis of GSM265432	"Arabidopsis, root, longitudinal zone 4, -Fe conditions, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10497	GSE10497_15	total RNA	biotin	GPL198
GSM265433	Reanalysis of GSM265433	"Arabidopsis, root, longitudinal zone 4, -Fe conditions, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10497	GSE10497_15	total RNA	biotin	GPL198
GSM266662	Reanalysis of GSM266662	"Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 1"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_1	total RNA	biotin	GPL198
GSM266663	Reanalysis of GSM266663	"Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 2"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_1	total RNA	biotin	GPL198
GSM266664	Reanalysis of GSM266664	"Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 3"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_1	total RNA	biotin	GPL198
GSM266665	Reanalysis of GSM266665	"Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 4"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_1	total RNA	biotin	GPL198
GSM266666	Reanalysis of GSM266666	"Arabidopsis, root cells, columella root cap, -Fe, replicate 1"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_5	total RNA	biotin	GPL198
GSM266667	Reanalysis of GSM266667	"Arabidopsis, root cells, columella root cap, -Fe, replicate 2"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_5	total RNA	biotin	GPL198
GSM266668	Reanalysis of GSM266668	"Arabidopsis, root cells, columella root cap, -Fe, replicate 3"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_5	total RNA	biotin	GPL198
GSM266669	Reanalysis of GSM266669	"Arabidopsis, root cells, cortex, -Fe, replicate 1"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_8	total RNA	biotin	GPL198
GSM266670	Reanalysis of GSM266670	"Arabidopsis, root cells, cortex, -Fe, replicate 2"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_8	total RNA	biotin	GPL198
GSM266671	Reanalysis of GSM266671	"Arabidopsis, root cells, cortex, -Fe, replicate 3"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_8	total RNA	biotin	GPL198
