Sample name	title	source name	organism	characteristics: Tissue	characteristics: Developmental Stage	characteristics: Ecotype	characteristics: Genotype	characteristics: Treatment	characteristics: Original series ID	characteristics: Replicate Group	molecule	label	platform
GSM517075	Reanalysis of GSM517075	wt_0h_rep3	Arabidopsis thaliana	suspension cell	-	Col-0	wild type	mutant	GSE20586	GSE20586_1	total RNA	biotin	GPL198
GSM517076	Reanalysis of GSM517076	wt_12h_rep1	Arabidopsis thaliana	suspension cell	-	Col-0	wild type	mutant	GSE20586	GSE20586_4	total RNA	biotin	GPL198
GSM517077	Reanalysis of GSM517077	wt_12h_rep2	Arabidopsis thaliana	suspension cell	-	Col-0	wild type	mutant	GSE20586	GSE20586_4	total RNA	biotin	GPL198
GSM517078	Reanalysis of GSM517078	wt_12h_rep3	Arabidopsis thaliana	suspension cell	-	Col-0	wild type	mutant	GSE20586	GSE20586_4	total RNA	biotin	GPL198
GSM517079	Reanalysis of GSM517079	VND6_0h_rep1	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_7	total RNA	biotin	GPL198
GSM517080	Reanalysis of GSM517080	VND6_0h_rep2	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_7	total RNA	biotin	GPL198
GSM517081	Reanalysis of GSM517081	VND6_0h_rep3	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_7	total RNA	biotin	GPL198
GSM517082	Reanalysis of GSM517082	VND6_12h_rep1	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_10	total RNA	biotin	GPL198
GSM517083	Reanalysis of GSM517083	VND6_12h_rep2	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_10	total RNA	biotin	GPL198
GSM517084	Reanalysis of GSM517084	VND6_12h_rep3	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_10	total RNA	biotin	GPL198
GSM517085	Reanalysis of GSM517085	SND1_0h_rep1	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_13	total RNA	biotin	GPL198
GSM517086	Reanalysis of GSM517086	SND1_0h_rep2	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_13	total RNA	biotin	GPL198
GSM517087	Reanalysis of GSM517087	SND1_0h_rep3	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_13	total RNA	biotin	GPL198
GSM517088	Reanalysis of GSM517088	SND1_12h_rep1	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_16	total RNA	biotin	GPL198
GSM517089	Reanalysis of GSM517089	SND1_12h_rep2	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_16	total RNA	biotin	GPL198
GSM517090	Reanalysis of GSM517090	SND1_12h_rep3	Arabidopsis thaliana	suspension cell	-	Col-0	mutant	mutant	GSE20586	GSE20586_16	total RNA	biotin	GPL198
GSM520748	Reanalysis of GSM520748	"0 H2O2, 0 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_1	total RNA	biotin	GPL198
GSM520749	Reanalysis of GSM520749	"0 H2O2, 0 BL, replicate 2"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_1	total RNA	biotin	GPL198
GSM520750	Reanalysis of GSM520750	"0 H2O2, 0 BL, replicate 3"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_1	total RNA	biotin	GPL198
GSM520751	Reanalysis of GSM520751	"1 H2O2, 0 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_4	total RNA	biotin	GPL198
GSM520752	Reanalysis of GSM520752	"5 H2O2, 0 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_5	total RNA	biotin	GPL198
GSM520753	Reanalysis of GSM520753	"25 H2O2, 0 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_6	total RNA	biotin	GPL198
GSM520754	Reanalysis of GSM520754	"50 H2O2, 0 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_7	total RNA	biotin	GPL198
GSM520755	Reanalysis of GSM520755	"100 H2O2, 0 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_8	total RNA	biotin	GPL198
GSM520756	Reanalysis of GSM520756	"0 H2O2, 1 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_9	total RNA	biotin	GPL198
GSM520757	Reanalysis of GSM520757	"0 H2O2, 1 BL, replicate 2"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_9	total RNA	biotin	GPL198
GSM520758	Reanalysis of GSM520758	"0 H2O2, 1 BL, replicate 3"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_9	total RNA	biotin	GPL198
GSM520759	Reanalysis of GSM520759	"1 H2O2, 1 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_12	total RNA	biotin	GPL198
GSM520760	Reanalysis of GSM520760	"5 H2O2, 1 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_13	total RNA	biotin	GPL198
GSM520761	Reanalysis of GSM520761	"25 H2O2, 1 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_14	total RNA	biotin	GPL198
GSM520762	Reanalysis of GSM520762	"50 H2O2, 1 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_15	total RNA	biotin	GPL198
GSM520763	Reanalysis of GSM520763	"100 H2O2, 1 BL, replicate 1"	Arabidopsis thaliana	seedling	1.02	Col-0	wild type	abiotic stress	GSE20756	GSE20756_16	total RNA	biotin	GPL198
GSM522409	Reanalysis of GSM522409	Col-0_3-day-old_rep1	Arabidopsis thaliana	seedling	0.1	Col-0	wild type	mutant	GSE20897	GSE20897_1	total RNA	biotin	GPL198
GSM522410	Reanalysis of GSM522410	eto1-4_3-day-old_rep1	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_2	total RNA	biotin	GPL198
GSM522411	Reanalysis of GSM522411	eto1-4 + 9393_3-day-old_rep1	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_3	total RNA	biotin	GPL198
GSM522412	Reanalysis of GSM522412	eto1-4 + 9370_3-day-old_rep1	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_4	total RNA	biotin	GPL198
GSM522413	Reanalysis of GSM522413	eto1-4 + 7303_3-day-old_rep1	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_5	total RNA	biotin	GPL198
GSM522414	Reanalysis of GSM522414	eto1-4 + AVG_3-day-old_rep1	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_6	total RNA	biotin	GPL198
GSM522415	Reanalysis of GSM522415	Col-0_3-day-old_rep2	Arabidopsis thaliana	seedling	0.1	Col-0	wild type	mutant	GSE20897	GSE20897_1	total RNA	biotin	GPL198
GSM522416	Reanalysis of GSM522416	eto1-4_3-day-old_rep2	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_2	total RNA	biotin	GPL198
GSM522417	Reanalysis of GSM522417	eto1-4 + 9393_3-day-old_rep2	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_3	total RNA	biotin	GPL198
GSM522418	Reanalysis of GSM522418	eto1-4 + 9370_3-day-old_rep2	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_4	total RNA	biotin	GPL198
GSM522419	Reanalysis of GSM522419	eto1-4 + 7303_3-day-old_rep2	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_5	total RNA	biotin	GPL198
GSM522420	Reanalysis of GSM522420	eto1-4 + AVG_3-day-old_rep2	Arabidopsis thaliana	seedling	0.1	Col-0		mutant	GSE20897	GSE20897_6	total RNA	biotin	GPL198
GSM539310	Reanalysis of GSM539310	"WT-sib, treatment N-L-, 1 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_1	total RNA	biotin	GPL198
GSM539311	Reanalysis of GSM539311	"WT-sib, treatment N-L-, 2 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_1	total RNA	biotin	GPL198
GSM539312	Reanalysis of GSM539312	"WT-sib, treatment N-L-, 3 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_1	total RNA	biotin	GPL198
GSM539313	Reanalysis of GSM539313	"WT-sib, treatment N+L-, 1 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_2	total RNA	biotin	GPL198
GSM539314	Reanalysis of GSM539314	"WT-sib, treatment N+L-, 2 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_2	total RNA	biotin	GPL198
GSM539315	Reanalysis of GSM539315	"WT-sib, treatment N+L-, 3 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_2	total RNA	biotin	GPL198
GSM539316	Reanalysis of GSM539316	"WT-sib, treatment N-L+, 1 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_3	total RNA	biotin	GPL198
GSM539317	Reanalysis of GSM539317	"WT-sib, treatment N-L+, 2 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_3	total RNA	biotin	GPL198
GSM539318	Reanalysis of GSM539318	"WT-sib, treatment N-L+, 3 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_3	total RNA	biotin	GPL198
GSM539319	Reanalysis of GSM539319	"WT-sib, treatment N+L+, 1 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_4	total RNA	biotin	GPL198
GSM539320	Reanalysis of GSM539320	"WT-sib, treatment N+L+, 2 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_4	total RNA	biotin	GPL198
GSM539321	Reanalysis of GSM539321	"WT-sib, treatment N+L+, 3 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	wild type	"mutant, abiotic"	GSE21601	GSE21601_4	total RNA	biotin	GPL198
GSM539322	Reanalysis of GSM539322	"bZIP1ko mutant, treatment N-L-, 1 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_5	total RNA	biotin	GPL198
GSM539323	Reanalysis of GSM539323	"bZIP1ko mutant, treatment N-L-, 2 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_5	total RNA	biotin	GPL198
GSM539324	Reanalysis of GSM539324	"bZIP1ko mutant, treatment N-L-, 3 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_5	total RNA	biotin	GPL198
GSM539325	Reanalysis of GSM539325	"bZIP1ko mutant, treatment N+L-, 1 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_6	total RNA	biotin	GPL198
GSM539326	Reanalysis of GSM539326	"bZIP1ko mutant, treatment N+L-, 2 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_6	total RNA	biotin	GPL198
GSM539327	Reanalysis of GSM539327	"bZIP1ko mutant, treatment N+L-, 3 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_6	total RNA	biotin	GPL198
GSM539328	Reanalysis of GSM539328	"bZIP1ko mutant, treatment N-L+, 1 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_7	total RNA	biotin	GPL198
GSM539329	Reanalysis of GSM539329	"bZIP1ko mutant, treatment N-L+, 2 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_7	total RNA	biotin	GPL198
GSM539330	Reanalysis of GSM539330	"bZIP1ko mutant, treatment N-L+, 3 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_7	total RNA	biotin	GPL198
GSM539331	Reanalysis of GSM539331	"bZIP1ko mutant, treatment N+L+, 1 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_8	total RNA	biotin	GPL198
GSM539332	Reanalysis of GSM539332	"bZIP1ko mutant, treatment N+L+, 2 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_8	total RNA	biotin	GPL198
GSM539333	Reanalysis of GSM539333	"bZIP1ko mutant, treatment N+L+, 3 biological rep"	Arabidopsis thaliana	whole plant	1.03	Col-0	mutant	"mutant, abiotic"	GSE21601	GSE21601_8	total RNA	biotin	GPL198
GSM539452	Reanalysis of GSM539452	At_PR_OZ1_1	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_101	total RNA	biotin	GPL198
GSM539453	Reanalysis of GSM539453	At_PR_OZ1_2	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_102	total RNA	biotin	GPL198
GSM539455	Reanalysis of GSM539455	At_PR_OZ1_4	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_104	total RNA	biotin	GPL198
GSM539457	Reanalysis of GSM539457	At_PR_OZ1_9	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_106	total RNA	biotin	GPL198
GSM539459	Reanalysis of GSM539459	At_PR_OZ1_13	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_108	total RNA	biotin	GPL198
GSM539460	Reanalysis of GSM539460	At_PR_OZ1_14	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_109	total RNA	biotin	GPL198
GSM539463	Reanalysis of GSM539463	At_PR_OZ1_17	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_112	total RNA	biotin	GPL198
GSM539464	Reanalysis of GSM539464	At_PR_OZ1_19	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_113	total RNA	biotin	GPL198
GSM539465	Reanalysis of GSM539465	At_PR_OZ1_20	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_114	total RNA	biotin	GPL198
GSM539466	Reanalysis of GSM539466	At_PR_OZ1_22	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_115	total RNA	biotin	GPL198
GSM539467	Reanalysis of GSM539467	At_PR_OZ1_23	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_116	total RNA	biotin	GPL198
GSM539470	Reanalysis of GSM539470	At_PR_OZ1_33	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_119	total RNA	biotin	GPL198
GSM539472	Reanalysis of GSM539472	At_PR_OZ2_1	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_219	total RNA	biotin	GPL198
GSM539473	Reanalysis of GSM539473	At_PR_OZ2_4	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_218	total RNA	biotin	GPL198
GSM539474	Reanalysis of GSM539474	At_PR_OZ2_6	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_217	total RNA	biotin	GPL198
GSM539476	Reanalysis of GSM539476	At_PR_OZ2_10	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_215	total RNA	biotin	GPL198
GSM539478	Reanalysis of GSM539478	At_PR_OZ2_14	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_213	total RNA	biotin	GPL198
GSM539479	Reanalysis of GSM539479	At_PR_OZ2_15	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_212	total RNA	biotin	GPL198
GSM539482	Reanalysis of GSM539482	At_PR_OZ2_21	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_209	total RNA	biotin	GPL198
GSM539484	Reanalysis of GSM539484	At_PR_OZ2_23	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_207	total RNA	biotin	GPL198
GSM539488	Reanalysis of GSM539488	At_PR_OZ2_38	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_203	total RNA	biotin	GPL198
GSM539489	Reanalysis of GSM539489	At_PR_OZ2_39	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_202	total RNA	biotin	GPL198
GSM539490	Reanalysis of GSM539490	At_PR_OZ2_40	Arabidopsis thaliana	root	0.7	Col-0	wild type	development	GSE21611	GSE21611_201	total RNA	biotin	GPL198
GSM540905	Reanalysis of GSM540905	Col 120min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	wild type	development	GSE21684	GSE21684_1	total RNA	biotin	GPL198
GSM540906	Reanalysis of GSM540906	Col 280min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	wild type	development	GSE21684	GSE21684_2	total RNA	biotin	GPL198
GSM540907	Reanalysis of GSM540907	Col 1080min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	wild type	development	GSE21684	GSE21684_3	total RNA	biotin	GPL198
GSM540908	Reanalysis of GSM540908	Col 1240min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	wild type	development	GSE21684	GSE21684_4	total RNA	biotin	GPL198
GSM540909	Reanalysis of GSM540909	Col 1560min rep1	Arabidopsis thaliana	seedling	0.7	Col-0	wild type	development	GSE21684	GSE21684_5	total RNA	biotin	GPL198
GSM540910	Reanalysis of GSM540910	Col 1720min rep1	Arabidopsis thaliana	seedling	0.7	Col-0	wild type	development	GSE21684	GSE21684_6	total RNA	biotin	GPL198
GSM540911	Reanalysis of GSM540911	Col 2520min rep1	Arabidopsis thaliana	seedling	0.7	Col-0	wild type	development	GSE21684	GSE21684_7	total RNA	biotin	GPL198
GSM540912	Reanalysis of GSM540912	Col 2680min rep1	Arabidopsis thaliana	seedling	0.7	Col-0	wild type	development	GSE21684	GSE21684_8	total RNA	biotin	GPL198
GSM540913	Reanalysis of GSM540913	Col 3000min rep1	Arabidopsis thaliana	seedling	1	Col-0	wild type	development	GSE21684	GSE21684_9	total RNA	biotin	GPL198
GSM540914	Reanalysis of GSM540914	Col 3160min rep1	Arabidopsis thaliana	seedling	1	Col-0	wild type	development	GSE21684	GSE21684_10	total RNA	biotin	GPL198
GSM540915	Reanalysis of GSM540915	Col 3960min rep1	Arabidopsis thaliana	seedling	1	Col-0	wild type	development	GSE21684	GSE21684_11	total RNA	biotin	GPL198
GSM540916	Reanalysis of GSM540916	Col 4120min rep1	Arabidopsis thaliana	seedling	1	Col-0	wild type	development	GSE21684	GSE21684_12	total RNA	biotin	GPL198
GSM540917	Reanalysis of GSM540917	CCA1OX 120min rep1	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_13	total RNA	biotin	GPL198
GSM540918	Reanalysis of GSM540918	CCA1OX 280min rep1	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_14	total RNA	biotin	GPL198
GSM540919	Reanalysis of GSM540919	CCA1OX 1080min rep1	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_15	total RNA	biotin	GPL198
GSM540920	Reanalysis of GSM540920	CCA1OX 1240min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_16	total RNA	biotin	GPL198
GSM540921	Reanalysis of GSM540921	CCA1OX 1560min rep1	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_17	total RNA	biotin	GPL198
GSM540922	Reanalysis of GSM540922	CCA1OX 1720min rep1	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_18	total RNA	biotin	GPL198
GSM540923	Reanalysis of GSM540923	CCA1OX 2520min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_19	total RNA	biotin	GPL198
GSM540924	Reanalysis of GSM540924	CCA1OX 2680min rep1_A20	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_20	total RNA	biotin	GPL198
GSM540925	Reanalysis of GSM540925	CCA1OX 3000min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_21	total RNA	biotin	GPL198
GSM540926	Reanalysis of GSM540926	CCA1OX 3160min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_22	total RNA	biotin	GPL198
GSM540927	Reanalysis of GSM540927	CCA1OX 3960min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_23	total RNA	biotin	GPL198
GSM540928	Reanalysis of GSM540928	CCA1OX 4120min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_24	total RNA	biotin	GPL198
GSM540929	Reanalysis of GSM540929	Col 120min rep2	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_1	total RNA	biotin	GPL198
GSM540930	Reanalysis of GSM540930	Col 280min rep2	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_2	total RNA	biotin	GPL198
GSM540931	Reanalysis of GSM540931	Col 1080min rep2	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_3	total RNA	biotin	GPL198
GSM540932	Reanalysis of GSM540932	Col 1240min rep2	Arabidopsis thaliana	seedling	0.7	Col-0		development	GSE21684	GSE21684_4	total RNA	biotin	GPL198
GSM540933	Reanalysis of GSM540933	Col 1560min rep2	Arabidopsis thaliana	seedling	0.7	Col-0		development	GSE21684	GSE21684_5	total RNA	biotin	GPL198
GSM540934	Reanalysis of GSM540934	Col 1720min rep2	Arabidopsis thaliana	seedling	0.7	Col-0		development	GSE21684	GSE21684_6	total RNA	biotin	GPL198
GSM540935	Reanalysis of GSM540935	Col 2680min rep2	Arabidopsis thaliana	seedling	1	Col-0		development	GSE21684	GSE21684_8	total RNA	biotin	GPL198
GSM540936	Reanalysis of GSM540936	Col 3160min rep2	Arabidopsis thaliana	seedling	1	Col-0		development	GSE21684	GSE21684_10	total RNA	biotin	GPL198
GSM540937	Reanalysis of GSM540937	Col 3960min rep2	Arabidopsis thaliana	seedling	1	Col-0		development	GSE21684	GSE21684_11	total RNA	biotin	GPL198
GSM540938	Reanalysis of GSM540938	CCA1OX 120min rep2	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_13	total RNA	biotin	GPL198
GSM540939	Reanalysis of GSM540939	CCA1OX 280min rep2	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_14	total RNA	biotin	GPL198
GSM540940	Reanalysis of GSM540940	CCA1OX 1080min rep2	Arabidopsis thaliana	seedling	0.5	Col-0		development	GSE21684	GSE21684_15	total RNA	biotin	GPL198
GSM540941	Reanalysis of GSM540941	CCA1OX 1240min rep2	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_16	total RNA	biotin	GPL198
GSM540942	Reanalysis of GSM540942	CCA1OX 1560min rep2	Arabidopsis thaliana	seedling	0.7	Col-0		development	GSE21684	GSE21684_17	total RNA	biotin	GPL198
GSM540943	Reanalysis of GSM540943	CCA1OX 1720min rep2	Arabidopsis thaliana	seedling	0.7	Col-0		development	GSE21684	GSE21684_18	total RNA	biotin	GPL198
GSM540944	Reanalysis of GSM540944	CCA1OX 2680min rep2	Arabidopsis thaliana	seedling	0.7	Col-0	mutant	development	GSE21684	GSE21684_20	total RNA	biotin	GPL198
GSM540945	Reanalysis of GSM540945	CCA1OX 3160min rep2	Arabidopsis thaliana	seedling	1	Col-0	mutant	development	GSE21684	GSE21684_22	total RNA	biotin	GPL198
GSM540946	Reanalysis of GSM540946	CCA1OX 3960min rep2	Arabidopsis thaliana	seedling	1	Col-0		development	GSE21684	GSE21684_23	total RNA	biotin	GPL198
GSM540947	Reanalysis of GSM540947	pif4 pil5 280min rep1	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_43	total RNA	biotin	GPL198
GSM540948	Reanalysis of GSM540948	pif4 pil5 1720min rep1	Arabidopsis thaliana	seedling	0.7	Col-0	mutant	development	GSE21684	GSE21684_44	total RNA	biotin	GPL198
GSM540949	Reanalysis of GSM540949	pif4 pil5 3160min rep1	Arabidopsis thaliana	seedling	1	Col-0	mutant	development	GSE21684	GSE21684_45	total RNA	biotin	GPL198
GSM540950	Reanalysis of GSM540950	pif4 pil5 280min rep2	Arabidopsis thaliana	seedling	0.5	Col-0	mutant	development	GSE21684	GSE21684_43	total RNA	biotin	GPL198
GSM540951	Reanalysis of GSM540951	pif4 pil5 1720min rep2	Arabidopsis thaliana	seedling	0.7	Col-0	mutant	development	GSE21684	GSE21684_44	total RNA	biotin	GPL198
GSM540952	Reanalysis of GSM540952	pif4 pil5 3160min rep2	Arabidopsis thaliana	seedling	1	Col-0	mutant	development	GSE21684	GSE21684_45	total RNA	biotin	GPL198
GSM39191	Reanalysis of GSM39191	RRE1_C1	Arabidopsis thaliana	seedling	-	Col-0	mutant	"mutant, biotic"	GSE2169	GSE2169_1	total RNA	biotin	GPL198
GSM39192	Reanalysis of GSM39192	RRE1_C2	Arabidopsis thaliana	seedling	-	Col-0	mutant	"mutant, biotic"	GSE2169	GSE2169_1	total RNA	biotin	GPL198
GSM39193	Reanalysis of GSM39193	RRE1_C3	Arabidopsis thaliana	seedling	-	Col-0	mutant	"mutant, biotic"	GSE2169	GSE2169_1	total RNA	biotin	GPL198
GSM39194	Reanalysis of GSM39194	RRE1_C4	Arabidopsis thaliana	seedling	-	Col-0	mutant	"mutant, biotic"	GSE2169	GSE2169_1	total RNA	biotin	GPL198
GSM39195	Reanalysis of GSM39195	RRE1_Chitin1	Arabidopsis thaliana	seedling	-	Col-0	mutant	"mutant, biotic"	GSE2169	GSE2169_2	total RNA	biotin	GPL198
GSM39196	Reanalysis of GSM39196	RRE1_Chitin2	Arabidopsis thaliana	seedling	-	Col-0	mutant	"mutant, biotic"	GSE2169	GSE2169_2	total RNA	biotin	GPL198
